Freq.	V(y)
1.00000000000000e-01	1.81532152371846e+00,7.81891530911411e-04
1.04809619238477e-01	1.81659894834368e+00,7.42462882743540e-04
1.09619238476954e-01	1.81793738566439e+00,6.91993798114124e-04
1.14428857715431e-01	1.81933697467948e+00,6.29934499356653e-04
1.19238476953908e-01	1.82079786040753e+00,5.55729273373981e-04
1.24048096192385e-01	1.82232019385424e+00,4.68816182609858e-04
1.28857715430862e-01	1.82390413197764e+00,3.68626772271379e-04
1.33667334669339e-01	1.82554983765082e+00,2.54585773632324e-04
1.38476953907816e-01	1.82725747962212e+00,1.26110803246857e-04
1.43286573146293e-01	1.82902723247257e+00,-1.73879421046096e-05
1.48096192384769e-01	1.83085927657056e+00,-1.76507994903945e-04
1.52905811623246e-01	1.83275379802343e+00,-3.51854931004352e-04
1.57715430861723e-01	1.83471098862591e+00,-5.44042688527641e-04
1.62525050100200e-01	1.83673104580531e+00,-7.53693891737679e-04
1.67334669338677e-01	1.83881417256305e+00,-9.81440180063821e-04
1.72144288577154e-01	1.84096057741262e+00,-1.22792254246162e-03
1.76953907815631e-01	1.84317047431358e+00,-1.49379165728817e-03
1.81763527054108e-01	1.84544408260144e+00,-1.77970823788520e-03
1.86573146292585e-01	1.84778162691328e+00,-2.08634338404573e-03
1.91382765531062e-01	1.85018333710871e+00,-2.41437893956147e-03
1.96192384769539e-01	1.85264944818620e+00,-2.76450785603130e-03
2.01002004008016e-01	1.85518020019418e+00,-3.13743456312414e-03
2.05811623246493e-01	1.85777583813703e+00,-3.53387534548799e-03
2.10621242484970e-01	1.86043661187531e+00,-3.95455872649226e-03
2.15430861723447e-01	1.86316277602027e+00,-4.40022585899659e-03
2.20240480961924e-01	1.86595458982213e+00,-4.87163092334263e-03
2.25050100200401e-01	1.86881231705188e+00,-5.36954153275316e-03
2.29859719438878e-01	1.87173622587631e+00,-5.89473914634126e-03
2.34669338677355e-01	1.87472658872583e+00,-6.44801948991463e-03
2.39478957915831e-01	1.87778368215485e+00,-7.03019298477097e-03
2.44288577154308e-01	1.88090778669420e+00,-7.64208518467792e-03
2.49098196392785e-01	1.88409918669535e+00,-8.28453722122370e-03
2.53907815631262e-01	1.88735817016591e+00,-8.95840625773651e-03
2.58717434869739e-01	1.89068502859596e+00,-9.66456595194982e-03
2.63527054108216e-01	1.89408005677492e+00,-1.04039069276165e-02
2.68336673346693e-01	1.89754355259834e+00,-1.11773372552358e-02
2.73146292585170e-01	1.90107581686414e+00,-1.19857829420976e-02
2.77955911823647e-01	1.90467715305791e+00,-1.28301884317995e-02
2.82765531062124e-01	1.90834786712657e+00,-1.37115171134294e-02
2.87575150300601e-01	1.91208826724002e+00,-1.46307518405785e-02
2.92384769539078e-01	1.91589866354002e+00,-1.55888954603425e-02
2.97194388777555e-01	1.91977936787582e+00,-1.65869713524813e-02
3.02004008016032e-01	1.92373069352592e+00,-1.76260239788870e-02
3.06813627254509e-01	1.92775295490519e+00,-1.87071194435055e-02
3.11623246492986e-01	1.93184646725684e+00,-1.98313460628473e-02
3.16432865731463e-01	1.93601154632834e+00,-2.09998149472245e-02
3.21242484969940e-01	1.94024850803070e+00,-2.22136605928267e-02
3.26052104208417e-01	1.94455766808032e+00,-2.34740414847457e-02
3.30861723446894e-01	1.94893934162251e+00,-2.47821407110496e-02
3.35671342685370e-01	1.95339384283596e+00,-2.61391665879806e-02
3.40480961923847e-01	1.95792148451726e+00,-2.75463532963579e-02
3.45290581162324e-01	1.96252257764446e+00,-2.90049615292247e-02
