f / Hz,Re(V) / V,Im(V) / V
1.93E+00,-1.78845655757095e-01,-1.36207323694503e+00
1.93E+00,-1.79774362697831e-01,-1.35518912047255e+00
1.94E+00,-1.80666672731978e-01,-1.34836617048260e+00
1.94E+00,-1.81523501263509e-01,-1.34160377200355e+00
1.95E+00,-1.82345741078357e-01,-1.33490131325446e+00
1.95E+00,-1.83134262906472e-01,-1.32825818582609e+00
1.96E+00,-1.83889915970703e-01,-1.32167378484927e+00
1.96E+00,-1.84613528522665e-01,-1.31514750915135e+00
1.97E+00,-1.85305908365886e-01,-1.30867876140119e+00
1.97E+00,-1.85967843366422e-01,-1.30226694824338e+00
1.98E+00,-1.86600101951203e-01,-1.29591148042210e+00
1.98E+00,-1.87203433594352e-01,-1.28961177289528e+00
1.99E+00,-1.87778569291684e-01,-1.28336724493934e+00
1.99E+00,-1.88326222023663e-01,-1.27717732024525e+00
1.99E+00,-1.88847087207013e-01,-1.27104142700608e+00
2.00E+00,-1.89341843135262e-01,-1.26495899799670e+00
2.00E+00,-1.89811151408394e-01,-1.25892947064586e+00
2.01E+00,-1.90255657351922e-01,-1.25295228710116e+00
2.01E+00,-1.90675990425519e-01,-1.24702689428725e+00
2.02E+00,-1.91072764621519e-01,-1.24115274395752e+00
2.02E+00,-1.91446578853450e-01,-1.23532929273983e+00
2.03E+00,-1.91798017334873e-01,-1.22955600217636e+00
2.03E+00,-1.92127649948698e-01,-1.22383233875808e+00
2.04E+00,-1.92436032607234e-01,-1.21815777395403e+00
2.04E+00,-1.92723707603172e-01,-1.21253178423571e+00
2.05E+00,-1.92991203951699e-01,-1.20695385109688e+00
2.05E+00,-1.93239037723979e-01,-1.20142346106902e+00
2.06E+00,-1.93467712372176e-01,-1.19594010573262e+00
2.06E+00,-1.93677719046241e-01,-1.19050328172465e+00
2.07E+00,-1.93869536902648e-01,-1.18511249074234e+00
2.07E+00,-1.94043633405281e-01,-1.17976723954356e+00
2.08E+00,-1.94200464618655e-01,-1.17446703994385e+00
2.08E+00,-1.94340475493664e-01,-1.16921140881051e+00
2.09E+00,-1.94464100146033e-01,-1.16399986805379e+00
2.09E+00,-1.94571762127657e-01,-1.15883194461530e+00
2.10E+00,-1.94663874691009e-01,-1.15370717045403e+00
2.10E+00,-1.94740841046771e-01,-1.14862508252988e+00
2.11E+00,-1.94803054614877e-01,-1.14358522278497e+00
2.11E+00,-1.94850899269127e-01,-1.13858713812299e+00
2.12E+00,-1.94884749575518e-01,-1.13363038038644e+00
2.12E+00,-1.94904971024479e-01,-1.12871450633216e+00
2.12E+00,-1.94911920257133e-01,-1.12383907760513e+00
2.13E+00,-1.94905945285771e-01,-1.11900366071073e+00
2.13E+00,-1.94887385708649e-01,-1.11420782698545e+00
2.14E+00,-1.94856572919287e-01,-1.10945115256630e+00
2.14E+00,-1.94813830310375e-01,-1.10473321835900e+00
2.15E+00,-1.94759473472470e-01,-1.10005361000491e+00
2.15E+00,-1.94693810387570e-01,-1.09541191784692e+00
2.16E+00,-1.94617141617727e-01,-1.09080773689442e+00
2.16E+00,-1.94529760488817e-01,-1.08624066678723e+00
2.17E+00,-1.94431953269601e-01,-1.08171031175882e+00
2.17E+00,-1.94323999346175e-01,-1.07721628059872e+00
2.18E+00,-1.94206171391965e-01,-1.07275818661423e+00
2.18E+00,-1.94078735533349e-01,-1.06833564759153e+00
2.19E+00,-1.93941951511033e-01,-1.06394828575625e+00
2.19E+00,-1.93796072837306e-01,-1.05959572773349e+00
2.20E+00,-1.93641346949252e-01,-1.05527760450742e+00
2.20E+00,-1.93478015358045e-01,-1.05099355138050e+00
2.21E+00,-1.93306313794431e-01,-1.04674320793238e+00
2.21E+00,-1.93126472350475e-01,-1.04252621797840e+00
2.22E+00,-1.92938715617701e-01,-1.03834222952801e+00
2.22E+00,-1.92743262821693e-01,-1.03419089474282e+00
2.23E+00,-1.92540327953266e-01,-1.03007186989458e+00
2.23E+00,-1.92330119896288e-01,-1.02598481532301e+00
2.24E+00,-1.92112842552246e-01,-1.02192939539354e+00
2.24E+00,-1.91888694961640e-01,-1.01790527845497e+00
2.25E+00,-1.91657871422285e-01,-1.01391213679712e+00
2.25E+00,-1.91420561604608e-01,-1.00994964660846e+00
2.25E+00,-1.91176950664009e-01,-1.00601748793385e+00
2.26E+00,-1.90927219350383e-01,-1.00211534463221e+00
2.26E+00,-1.90671544114848e-01,-9.98242904334353e-01
2.27E+00,-1.90410097213776e-01,-9.94399858400934e-01
2.27E+00,-1.90143046810196e-01,-9.90585901880471e-01
2.28E+00,-1.89870557072624e-01,-9.86800733467551e-01
2.28E+00,-1.89592788271394e-01,-9.83044055461184e-01
2.29E+00,-1.89309896872566e-01,-9.79315573723360e-01
2.29E+00,-1.89022035629459e-01,-9.75614997637779e-01
