in s,C1 in V,C2 in V
-1.800000E+00,6.73828E-01,-6.86523E-01
-1.799640E+00,6.93359E-01,-6.86523E-01
-1.799280E+00,7.32422E-01,-6.78711E-01
-1.798920E+00,6.93359E-01,-6.76758E-01
-1.798560E+00,7.32422E-01,-6.78711E-01
-1.798200E+00,7.32422E-01,-6.74805E-01
-1.797840E+00,7.32422E-01,-6.80664E-01
-1.797480E+00,8.10547E-01,-6.78711E-01
-1.797120E+00,8.49609E-01,-6.76758E-01
-1.796760E+00,8.30078E-01,-6.78711E-01
-1.796400E+00,8.10547E-01,-6.78711E-01
-1.796040E+00,8.30078E-01,-6.80664E-01
-1.795680E+00,8.30078E-01,-6.76758E-01
-1.795320E+00,8.49609E-01,-6.80664E-01
-1.794960E+00,8.69141E-01,-6.72852E-01
-1.794600E+00,8.30078E-01,-6.72852E-01
-1.794240E+00,8.88672E-01,-6.78711E-01
-1.793880E+00,9.08203E-01,-6.86523E-01
-1.793520E+00,9.47266E-01,-6.74805E-01
-1.793160E+00,9.47266E-01,-6.68945E-01
-1.792800E+00,9.47266E-01,-6.78711E-01
-1.792440E+00,9.66797E-01,-6.68945E-01
-1.792080E+00,9.86328E-01,-6.68945E-01
-1.791720E+00,9.66797E-01,-6.59180E-01
-1.791360E+00,9.86328E-01,-6.72852E-01
-1.791000E+00,9.86328E-01,-6.66992E-01
-1.790640E+00,1.00586E+00,-6.65039E-01
-1.790280E+00,1.00586E+00,-6.74805E-01
-1.789920E+00,1.02539E+00,-6.80664E-01
-1.789560E+00,1.02539E+00,-6.65039E-01
-1.789200E+00,1.08398E+00,-6.68945E-01
-1.788840E+00,1.10352E+00,-6.63086E-01
-1.788480E+00,1.12305E+00,-6.68945E-01
-1.788120E+00,1.06445E+00,-6.66992E-01
-1.787760E+00,1.10352E+00,-6.65039E-01
-1.787400E+00,1.08398E+00,-6.59180E-01
-1.787040E+00,1.14258E+00,-6.55273E-01
-1.786680E+00,1.16211E+00,-6.66992E-01
-1.786320E+00,1.20117E+00,-6.59180E-01
-1.785960E+00,1.16211E+00,-6.57227E-01
-1.785600E+00,1.12305E+00,-6.57227E-01
-1.785240E+00,1.20117E+00,-6.59180E-01
-1.784880E+00,1.20117E+00,-6.59180E-01
-1.784520E+00,1.25977E+00,-6.55273E-01
-1.784160E+00,1.22070E+00,-6.51367E-01
-1.783800E+00,1.27930E+00,-6.49414E-01
-1.783440E+00,1.22070E+00,-6.55273E-01
-1.783080E+00,1.29883E+00,-6.51367E-01
-1.782720E+00,1.25977E+00,-6.47461E-01
-1.782360E+00,1.33789E+00,-6.51367E-01
-1.782000E+00,1.29883E+00,-6.45508E-01
-1.781640E+00,1.35742E+00,-6.41602E-01
-1.781280E+00,1.25977E+00,-6.43555E-01
-1.780920E+00,1.31836E+00,-6.45508E-01
-1.780560E+00,1.35742E+00,-6.41602E-01
-1.780200E+00,1.37695E+00,-6.39648E-01
-1.779840E+00,1.37695E+00,-6.43555E-01
-1.779480E+00,1.33789E+00,-6.41602E-01
-1.779120E+00,1.43555E+00,-6.37695E-01
-1.778760E+00,1.43555E+00,-6.35742E-01
-1.778400E+00,1.43555E+00,-6.31836E-01
-1.778040E+00,1.39648E+00,-6.24023E-01
-1.777680E+00,1.49414E+00,-6.31836E-01
-1.777320E+00,1.43555E+00,-6.31836E-01
-1.776960E+00,1.45508E+00,-6.18164E-01
-1.776600E+00,1.47461E+00,-6.24023E-01
-1.776240E+00,1.47461E+00,-6.24023E-01
-1.775880E+00,1.53320E+00,-6.24023E-01
-1.775520E+00,1.55273E+00,-6.22070E-01
-1.775160E+00,1.51367E+00,-6.20117E-01
-1.774800E+00,1.53320E+00,-6.14258E-01
-1.774440E+00,1.51367E+00,-6.24023E-01
-1.774080E+00,1.49414E+00,-6.14258E-01
-1.773720E+00,1.51367E+00,-6.10352E-01
-1.773360E+00,1.53320E+00,-6.10352E-01
-1.773000E+00,1.57227E+00,-6.14258E-01
-1.772640E+00,1.61133E+00,-6.08398E-01
-1.772280E+00,1.59180E+00,-6.10352E-01
-1.771920E+00,1.61133E+00,-6.14258E-01
-1.771560E+00,1.63086E+00,-6.04492E-01
-1.771200E+00,1.68945E+00,-6.08398E-01
-1.770840E+00,1.61133E+00,-6.08398E-01
-1.770480E+00,1.65039E+00,-6.02539E-01
-1.770120E+00,1.65039E+00,-6.00586E-01
-1.769760E+00,1.63086E+00,-6.00586E-01
-1.769400E+00,1.68945E+00,-5.88867E-01
-1.769040E+00,1.65039E+00,-5.92773E-01
-1.768680E+00,1.70898E+00,-5.90820E-01
-1.768320E+00,1.74805E+00,-5.84961E-01
-1.767960E+00,1.66992E+00,-5.88867E-01
-1.767600E+00,1.74805E+00,-5.81055E-01
-1.767240E+00,1.70898E+00,-5.81055E-01
-1.766880E+00,1.72852E+00,-5.84961E-01
-1.766520E+00,1.68945E+00,-5.84961E-01
-1.766160E+00,1.76758E+00,-5.75195E-01
-1.765800E+00,1.76758E+00,-5.77148E-01
-1.765440E+00,1.78711E+00,-5.77148E-01
-1.765080E+00,1.78711E+00,-5.65430E-01
-1.764720E+00,1.84570E+00,-5.81055E-01
-1.764360E+00,1.78711E+00,-5.63477E-01
-1.764000E+00,1.84570E+00,-5.67383E-01
-1.763640E+00,1.78711E+00,-5.65430E-01
-1.763280E+00,1.78711E+00,-5.65430E-01
-1.762920E+00,1.80664E+00,-5.55664E-01
-1.762560E+00,1.86523E+00,-5.57617E-01
-1.762200E+00,1.84570E+00,-5.59570E-01
-1.761840E+00,1.94336E+00,-5.49805E-01
-1.761480E+00,1.82617E+00,-5.57617E-01
-1.761120E+00,1.96289E+00,-5.55664E-01
-1.760760E+00,1.90430E+00,-5.51758E-01
-1.760400E+00,1.94336E+00,-5.47852E-01
-1.760040E+00,1.92383E+00,-5.43945E-01
-1.759680E+00,1.92383E+00,-5.40039E-01
-1.759320E+00,1.94336E+00,-5.41992E-01
-1.758960E+00,1.94336E+00,-5.28320E-01
-1.758600E+00,1.94336E+00,-5.40039E-01
-1.758240E+00,1.96289E+00,-5.32227E-01
-1.757880E+00,1.94336E+00,-5.30273E-01
-1.757520E+00,1.94336E+00,-5.22461E-01
-1.757160E+00,2.04102E+00,-5.28320E-01
