in s,C1 in V,C2 in V
-3.600000E+00,-5.56641E-01,-1.58691E+00
-3.599280E+00,-4.98047E-01,-1.56738E+00
-3.598560E+00,-4.78516E-01,-1.55762E+00
-3.597840E+00,-4.00391E-01,-1.56738E+00
-3.597120E+00,-4.58984E-01,-1.58691E+00
-3.596400E+00,-4.19922E-01,-1.55762E+00
-3.595680E+00,-4.00391E-01,-1.57715E+00
-3.594960E+00,-4.58984E-01,-1.59668E+00
-3.594240E+00,-3.80859E-01,-1.63574E+00
-3.593520E+00,-3.61328E-01,-1.57715E+00
-3.592800E+00,-3.22266E-01,-1.62598E+00
-3.592080E+00,-2.83203E-01,-1.60645E+00
-3.591360E+00,-3.02734E-01,-1.58691E+00
-3.590640E+00,-3.02734E-01,-1.60645E+00
-3.589920E+00,-3.02734E-01,-1.60645E+00
-3.589200E+00,-2.63672E-01,-1.61621E+00
-3.588480E+00,-2.24609E-01,-1.58691E+00
-3.587760E+00,-2.44141E-01,-1.61621E+00
-3.587040E+00,-1.85547E-01,-1.62598E+00
-3.586320E+00,-2.44141E-01,-1.61621E+00
-3.585600E+00,-1.46484E-01,-1.60645E+00
-3.584880E+00,-1.85547E-01,-1.59668E+00
-3.584160E+00,-1.66016E-01,-1.63574E+00
-3.583440E+00,-8.78906E-02,-1.60645E+00
-3.582720E+00,-8.78906E-02,-1.59668E+00
-3.582000E+00,-1.07422E-01,-1.61621E+00
-3.581280E+00,-1.07422E-01,-1.61621E+00
-3.580560E+00,-2.92969E-02,-1.63574E+00
-3.579840E+00,-4.88281E-02,-1.61621E+00
-3.579120E+00,-9.76562E-03,-1.62598E+00
-3.578400E+00,-9.76562E-03,-1.63574E+00
-3.577680E+00,9.76562E-03,-1.63574E+00
-3.576960E+00,4.88281E-02,-1.65527E+00
-3.576240E+00,-9.76562E-03,-1.63574E+00
-3.575520E+00,6.83594E-02,-1.62598E+00
-3.574800E+00,4.88281E-02,-1.61621E+00
-3.574080E+00,1.26953E-01,-1.63574E+00
-3.573360E+00,1.66016E-01,-1.64551E+00
-3.572640E+00,1.07422E-01,-1.60645E+00
-3.571920E+00,1.07422E-01,-1.63574E+00
-3.571200E+00,1.85547E-01,-1.61621E+00
-3.570480E+00,2.05078E-01,-1.61621E+00
-3.569760E+00,2.05078E-01,-1.64551E+00
-3.569040E+00,1.66016E-01,-1.63574E+00
-3.568320E+00,2.05078E-01,-1.62598E+00
-3.567600E+00,2.63672E-01,-1.62598E+00
-3.566880E+00,3.02734E-01,-1.63574E+00
-3.566160E+00,2.63672E-01,-1.62598E+00
-3.565440E+00,3.41797E-01,-1.63574E+00
-3.564720E+00,3.22266E-01,-1.64551E+00
-3.564000E+00,2.44141E-01,-1.63574E+00
-3.563280E+00,3.41797E-01,-1.63574E+00
-3.562560E+00,3.61328E-01,-1.62598E+00
-3.561840E+00,3.61328E-01,-1.62598E+00
-3.561120E+00,3.80859E-01,-1.63574E+00
-3.560400E+00,4.19922E-01,-1.63574E+00
-3.559680E+00,4.19922E-01,-1.61621E+00
-3.558960E+00,4.19922E-01,-1.62598E+00
-3.558240E+00,4.78516E-01,-1.61621E+00
-3.557520E+00,4.98047E-01,-1.62598E+00
-3.556800E+00,4.98047E-01,-1.64551E+00
-3.556080E+00,4.98047E-01,-1.61621E+00
-3.555360E+00,5.17578E-01,-1.57715E+00
-3.554640E+00,5.56641E-01,-1.63574E+00
-3.553920E+00,5.56641E-01,-1.60645E+00
-3.553200E+00,5.76172E-01,-1.59668E+00
-3.552480E+00,5.76172E-01,-1.61621E+00
-3.551760E+00,5.95703E-01,-1.59668E+00
-3.551040E+00,6.34766E-01,-1.61621E+00
-3.550320E+00,6.93359E-01,-1.61621E+00
-3.549600E+00,6.73828E-01,-1.59668E+00
-3.548880E+00,7.12891E-01,-1.61621E+00
-3.548160E+00,7.12891E-01,-1.60645E+00
-3.547440E+00,6.93359E-01,-1.57715E+00
-3.546720E+00,7.12891E-01,-1.57715E+00
-3.546000E+00,7.32422E-01,-1.59668E+00
-3.545280E+00,7.51953E-01,-1.56738E+00
-3.544560E+00,7.71484E-01,-1.59668E+00
-3.543840E+00,7.71484E-01,-1.58691E+00
-3.543120E+00,7.51953E-01,-1.56738E+00
