time	V(y)	V(triangle)
0.000000000000000e+00	3.575360e-01	9.600008e-03
9.999999999976694e-05	3.560557e-01	8.640008e-03
2.999999999993008e-04	3.530955e-01	6.720008e-03
6.000000000003780e-04	3.486568e-01	3.840008e-03
6.574425614430826e-04	3.478072e-01	2.349167e-03
7.148851228857873e-04	3.469576e-01	1.173375e-03
7.723276843284919e-04	3.461080e-01	3.126303e-04
8.297702457711967e-04	3.452583e-01	-2.330661e-04
8.872128072139013e-04	3.444087e-01	-4.637146e-04
9.446553686566059e-04	3.435590e-01	-3.793151e-04
1.002097930099310e-03	3.427093e-01	2.013245e-05
1.004195124181706e-03	3.426783e-01	4.026551e-05
1.008389512348273e-03	3.426163e-01	8.053164e-05
1.016778288679632e-03	3.424923e-01	1.610639e-04
1.033555841344125e-03	3.422442e-01	3.221284e-04
1.059421264280047e-03	3.418618e-01	5.704365e-04
1.086553599977336e-03	3.414607e-01	8.309069e-04
1.116832386555799e-03	3.410131e-01	1.121583e-03
1.151762292323610e-03	3.404969e-01	1.456910e-03
1.197373122607814e-03	3.398231e-01	1.894774e-03
1.244364621285854e-03	3.391293e-01	2.345893e-03
1.298451506222875e-03	3.383311e-01	2.865127e-03
1.354003851078645e-03	3.375117e-01	3.398429e-03
1.399217452634716e-03	3.368449e-01	3.832480e-03
1.444869030535756e-03	3.361718e-01	4.270735e-03
1.487590391322513e-03	3.355419e-01	4.680860e-03
1.538871663129271e-03	3.347859e-01	5.173160e-03
1.587292838788557e-03	3.340723e-01	5.638003e-03
1.636841734519834e-03	3.333423e-01	6.113673e-03
1.684380785903272e-03	3.326422e-01	6.570048e-03
1.734715809051934e-03	3.319014e-01	7.053264e-03
1.789990895851190e-03	3.310883e-01	7.583905e-03
1.836193543795162e-03	3.304088e-01	8.027450e-03
1.878767893613187e-03	3.297828e-01	8.436164e-03
1.921256611350231e-03	3.291581e-01	8.844056e-03
1.952635822899396e-03	3.286968e-01	9.145296e-03
1.999999999998892e-03	3.280005e-01	9.599992e-03
2.014209253127675e-03	3.277917e-01	9.736401e-03
2.033154923967828e-03	3.275132e-01	9.918280e-03
2.071046265648135e-03	3.269565e-01	1.028204e-02
2.116059121153313e-03	3.262955e-01	1.071416e-02
2.168679073021096e-03	3.255231e-01	1.121931e-02
2.236564379353823e-03	3.245272e-01	1.187101e-02
2.286098352071164e-03	3.238008e-01	1.234654e-02
2.328938476248155e-03	3.231727e-01	1.275780e-02
2.371644251120131e-03	3.225466e-01	1.316778e-02
2.418068882393598e-03	3.218661e-01	1.361345e-02
2.466994436483461e-03	3.211490e-01	1.408314e-02
2.512263160841854e-03	3.204857e-01	1.451772e-02
2.562103575435515e-03	3.197557e-01	1.499619e-02
2.609391054368970e-03	3.190635e-01	1.545015e-02
2.669945532446150e-03	3.181776e-01	1.603147e-02
2.718631233568303e-03	3.174657e-01	1.649885e-02
2.762166687599432e-03	3.168292e-01	1.691679e-02
2.805894014294097e-03	3.161899e-01	1.733658e-02
2.849698042533433e-03	3.155496e-01	1.775709e-02
2.911891204474770e-03	3.146406e-01	1.835415e-02
2.960505085383147e-03	3.139303e-01	1.882084e-02
3.007688757749705e-03	3.132412e-01	1.927380e-02
3.054780035347093e-03	3.125539e-01	1.972588e-02
3.108241109263332e-03	3.117739e-01	2.023911e-02
3.156853325172904e-03	3.110650e-01	2.070578e-02
3.201151856652373e-03	3.104192e-01	2.113105e-02
3.246051773732717e-03	3.097647e-01	2.156209e-02
3.289105680545745e-03	3.091372e-01	2.197541e-02
3.345081028133023e-03	3.083214e-01	2.251277e-02
3.393015194948390e-03	3.076229e-01	2.297294e-02
3.445705525225051e-03	3.068555e-01	2.347877e-02
3.493439761030004e-03	3.061607e-01	2.393701e-02
3.544287528669088e-03	3.054209e-01	2.442515e-02
3.597415087716271e-03	3.046483e-01	2.493518e-02
3.643411960155163e-03	3.039796e-01	2.537675e-02
3.690772429017386e-03	3.032913e-01	2.583141e-02
3.733620988763064e-03	3.026685e-01	2.624275e-02
3.782404812531226e-03	3.019596e-01	2.671108e-02
3.830251430297693e-03	3.012645e-01	2.717041e-02
3.876149921110184e-03	3.005978e-01	2.761103e-02
3.925326116505090e-03	2.998839e-01	2.808312e-02
3.973212462621944e-03	2.991891e-01	2.854283e-02
4.038300602941192e-03	2.982452e-01	2.916768e-02
4.087761024868186e-03	2.975282e-01	2.964250e-02
4.131116533473644e-03	2.968999e-01	3.005871e-02
4.174497171939962e-03	2.962713e-01	3.047517e-02
4.219452542340463e-03	2.956199e-01	3.090674e-02
4.272843845511076e-03	2.948464e-01	3.141929e-02
4.319362476390864e-03	2.941727e-01	3.186587e-02
4.370687627149650e-03	2.934296e-01	3.235859e-02
4.417972974538387e-03	2.927455e-01	3.281253e-02
4.475269447873131e-03	2.919170e-01	3.336258e-02
4.523998351722014e-03	2.912126e-01	3.383038e-02
4.568037490731314e-03	2.905762e-01	3.425315e-02
4.612421255696830e-03	2.899350e-01	3.467924e-02
4.655982741937237e-03	2.893056e-01	3.509743e-02
4.720795690017709e-03	2.883694e-01	3.571963e-02
4.770356761738981e-03	2.876537e-01	3.619542e-02
4.817909327174519e-03	2.869673e-01	3.665192e-02
4.865394279869761e-03	2.862823e-01	3.710778e-02
4.918272684104608e-03	2.855198e-01	3.761541e-02
4.967361934534509e-03	2.848124e-01	3.808667e-02
5.012018367899884e-03	2.841690e-01	3.851537e-02
5.057376307982864e-03	2.835155e-01	3.895080e-02
5.100560408470400e-03	2.828935e-01	3.936537e-02
5.155447432981575e-03	2.821030e-01	3.989229e-02
5.203373666686772e-03	2.814128e-01	4.035238e-02
5.251267051757935e-03	2.807235e-01	4.081216e-02
5.299452566385199e-03	2.800303e-01	4.127474e-02
5.349117824948735e-03	2.793161e-01	4.175152e-02
5.408273073522096e-03	2.784660e-01	4.231941e-02
5.455970538717381e-03	2.777808e-01	4.277731e-02
5.499020683267020e-03	2.771624e-01	4.319059e-02
5.541990627536464e-03	2.765453e-01	4.360310e-02
5.588975184670275e-03	2.758706e-01	4.405415e-02
5.638473429829816e-03	2.751599e-01	4.452934e-02
