time	V(y)	V(sine)
0.000000000000000e+00	-2.997183e-03	-3.673940e-15
9.999987999975701e-05	-2.763987e-03	3.141589e-04
2.999996399992710e-04	-2.297593e-03	9.424766e-04
5.999992800020948e-04	-1.598002e-03	1.884953e-03
9.999988000046756e-04	-6.652158e-04	3.141588e-03
1.039998752005999e-03	-5.719372e-04	3.267251e-03
1.119998656005095e-03	-3.853801e-04	3.518578e-03
1.279998464006837e-03	-1.226636e-05	4.021232e-03
1.599998080010323e-03	7.339604e-04	5.026539e-03
1.999998800002345e-03	1.666746e-03	6.283175e-03
2.039998872000126e-03	1.760024e-03	6.408839e-03
2.119999015999241e-03	1.946581e-03	6.660165e-03
2.279999303997471e-03	2.319694e-03	7.162819e-03
2.599999879990378e-03	3.065919e-03	8.168126e-03
4.520003335951372e-03	7.543213e-03	1.419993e-02
7.080007943901734e-03	1.351273e-02	2.224221e-02
2.244003559159324e-02	4.931809e-02	7.048811e-02
4.292007245518548e-02	9.699305e-02	1.347720e-01
8.388014618236994e-02	1.918993e-01	2.630295e-01
1.638801461823682e-01	3.753316e-01	5.112132e-01
2.438801461823665e-01	5.551769e-01	7.542347e-01
3.386666655000035e-01	7.627206e-01	1.032125e+00
4.176666655000005e-01	9.267488e-01	1.252720e+00
4.186666655000018e-01	9.287683e-01	1.255437e+00
4.187666655000015e-01	9.289702e-01	1.255709e+00
4.189666655000011e-01	9.293738e-01	1.256252e+00
4.192666655000039e-01	9.299791e-01	1.257067e+00
4.196666655000030e-01	9.307861e-01	1.258153e+00
4.203923797857157e-01	9.322494e-01	1.260123e+00
4.211180940714284e-01	9.337117e-01	1.262091e+00
4.218438083571411e-01	9.351731e-01	1.264059e+00
4.225695226428537e-01	9.366334e-01	1.266025e+00
4.232952369285665e-01	9.380928e-01	1.267991e+00
4.240209512142791e-01	9.395511e-01	1.269955e+00
4.247466654999918e-01	9.410085e-01	1.271918e+00
4.795104745584798e-01	1.048646e+00	1.418523e+00
5.342742836169678e-01	1.150565e+00	1.556850e+00
5.890380926754558e-01	1.246763e+00	1.686901e+00
6.438019017339438e-01	1.337241e+00	1.808675e+00
6.985657107924318e-01	1.422000e+00	1.922171e+00
7.533295198509198e-01	1.501039e+00	2.027391e+00
8.080933289094077e-01	1.574358e+00	2.124334e+00
8.118419007937783e-01	1.578973e+00	2.130520e+00
8.155904726781488e-01	1.583551e+00	2.136658e+00
8.193390445625194e-01	1.588091e+00	2.142748e+00
8.230876164468900e-01	1.592594e+00	2.148791e+00
8.268361883312606e-01	1.597060e+00	2.154786e+00
8.305847602156311e-01	1.601488e+00	2.160733e+00
8.343333321000017e-01	1.605879e+00	2.166633e+00
8.345256537115127e-01	1.606103e+00	2.166934e+00
8.348204744693000e-01	1.606447e+00	2.167396e+00
8.350508261239149e-01	1.606715e+00	2.167756e+00
8.353333321000029e-01	1.607044e+00	2.168198e+00
8.355875874784822e-01	1.607340e+00	2.168596e+00
8.358418428569614e-01	1.607636e+00	2.168993e+00
8.360960982354406e-01	1.607931e+00	2.169390e+00
8.363503536139199e-01	1.608227e+00	2.169787e+00
8.366046089923991e-01	1.608522e+00	2.170184e+00
8.368588643708783e-01	1.608817e+00	2.170580e+00
8.371131197493575e-01	1.609111e+00	2.170976e+00
8.762426068291705e-01	1.651394e+00	2.229510e+00
9.153720939089836e-01	1.689741e+00	2.282389e+00
9.545015809887967e-01	1.724151e+00	2.329614e+00
9.936310680686097e-01	1.754625e+00	2.371184e+00
1.032760555148423e+00	1.781164e+00	2.407100e+00
1.071890042228236e+00	1.803766e+00	2.437362e+00
1.111019529308049e+00	1.822431e+00	2.461969e+00
1.126731024949751e+00	1.829689e+00	2.470073e+00
1.142442520591453e+00	1.835999e+00	2.477207e+00
1.158154016233155e+00	1.841363e+00	2.483372e+00
1.173865511874858e+00	1.845780e+00	2.488568e+00
1.189577007516560e+00	1.849250e+00	2.492795e+00
1.205288503158262e+00	1.851773e+00	2.496052e+00
1.220999998799964e+00	1.853350e+00	2.498340e+00
1.226999998799972e+00	1.853808e+00	2.498956e+00
1.235999998799983e+00	1.854353e+00	2.499613e+00
1.237999998799985e+00	1.854432e+00	2.499716e+00
1.248999998799999e+00	1.854689e+00	2.499998e+00
1.249999998800000e+00	1.854695e+00	2.500000e+00
1.250999998800001e+00	1.854697e+00	2.499998e+00
1.251999998800002e+00	1.854697e+00	2.499992e+00
1.252099998800002e+00	1.854697e+00	2.499991e+00
1.252299998800002e+00	1.854697e+00	2.499990e+00
1.252599998800004e+00	1.854695e+00	2.499987e+00
1.252999998800004e+00	1.854694e+00	2.499982e+00
1.253039998800002e+00	1.854694e+00	2.499982e+00
1.253119998800003e+00	1.854693e+00	2.499981e+00
1.253279998800004e+00	1.854692e+00	2.499979e+00
1.253599998800002e+00	1.854690e+00	2.499974e+00
1.254239998799999e+00	1.854685e+00	2.499964e+00
1.293919998799907e+00	1.851425e+00	2.496193e+00
1.334879998799813e+00	1.842097e+00	2.485792e+00
1.414879998799812e+00	1.811079e+00	2.446530e+00
1.494879998799810e+00	1.764055e+00	2.382563e+00
1.587666665400004e+00	1.691289e+00	2.278293e+00
1.599095236828575e+00	1.680242e+00	2.263266e+00
1.610523808257146e+00	1.668842e+00	2.247782e+00
1.621952379685718e+00	1.657091e+00	2.231840e+00
1.633380951114289e+00	1.644988e+00	2.215439e+00
1.644809522542860e+00	1.632532e+00	2.198581e+00
1.656238093971431e+00	1.619725e+00	2.181265e+00
1.667666665400002e+00	1.606566e+00	2.163491e+00
1.667858987011513e+00	1.606342e+00	2.163188e+00
1.668230591654172e+00	1.605908e+00	2.162603e+00
1.668666665400004e+00	1.605399e+00	2.161915e+00
1.696621836429725e+00	1.571101e+00	2.116371e+00
1.724577007459446e+00	1.535012e+00	2.068358e+00
1.752532178489167e+00	1.497131e+00	2.017876e+00
1.780487349518888e+00	1.457459e+00	1.964925e+00
1.808442520548609e+00	1.415995e+00	1.909506e+00
1.836397691578330e+00	1.372740e+00	1.851617e+00
1.864352862608051e+00	1.327693e+00	1.791260e+00
1.944352862608049e+00	1.192415e+00	1.607189e+00
1.964492929678329e+00	1.156889e+00	1.558112e+00
1.984632996748608e+00	1.120515e+00	1.508126e+00
2.004773063818888e+00	1.083293e+00	1.457230e+00
2.024913130889168e+00	1.045223e+00	1.405425e+00
2.045053197959447e+00	1.006305e+00	1.352711e+00
2.065193265029727e+00	9.665385e-01	1.299087e+00
2.085333332100006e+00	9.259243e-01	1.244555e+00
2.086333332100004e+00	9.239032e-01	1.241829e+00
2.086693332100003e+00	9.231752e-01	1.240847e+00
2.087053332100001e+00	9.224470e-01	1.239865e+00
2.087413332100000e+00	9.217185e-01	1.238883e+00
2.087773332099998e+00	9.209899e-01	1.237901e+00
2.088133332099997e+00	9.202609e-01	1.236918e+00
2.088493332099996e+00	9.195318e-01	1.235935e+00
2.088853332099994e+00	9.188024e-01	1.234952e+00
2.123047617814253e+00	8.479992e-01	1.140071e+00
2.157241903528512e+00	7.760601e-01	1.043510e+00
2.191436189242771e+00	7.029851e-01	9.452692e-01
2.225630474957030e+00	6.287743e-01	8.453478e-01
2.259824760671289e+00	5.534277e-01	7.437461e-01
2.294019046385548e+00	4.769451e-01	6.404641e-01
2.328213332099807e+00	3.993267e-01	5.355018e-01
2.420999998700005e+00	1.869272e-01	2.477784e-01
2.486213317144681e+00	3.517151e-02	4.330998e-02
2.492213317144625e+00	2.118070e-02	2.446220e-02
2.494573361810986e+00	1.567726e-02	1.704815e-02
2.497720088032800e+00	8.339208e-03	7.162545e-03
2.498720088032790e+00	6.007231e-03	4.020960e-03
2.498999998700022e+00	5.354484e-03	3.141596e-03
2.499559820034484e+00	4.048989e-03	1.382866e-03
2.499880356031078e+00	3.301505e-03	3.758726e-04
2.500358926706816e+00	2.185487e-03	-1.127601e-03
2.500999998700003e+00	6.905202e-04	-3.141588e-03
2.501064105899324e+00	5.410238e-04	-3.342986e-03
2.501192320297960e+00	2.420310e-04	-3.745783e-03
2.501448749095232e+00	-3.559544e-04	-4.551377e-03
2.501487141105443e+00	-4.454835e-04	-4.671989e-03
2.501563925125865e+00	-6.245417e-04	-4.913213e-03
2.501717493166709e+00	-9.826577e-04	-5.395660e-03
2.501999998699993e+00	-1.641452e-03	-6.283175e-03
2.502028249253321e+00	-1.707331e-03	-6.371926e-03
2.502084750359977e+00	-1.839090e-03	-6.549429e-03
2.502197752573288e+00	-2.102607e-03	-6.904434e-03
2.502423756999917e+00	-2.629641e-03	-7.614445e-03
2.502875765853176e+00	-3.683705e-03	-9.034465e-03
2.505587818972707e+00	-1.000798e-02	-1.755451e-02
2.509203889798755e+00	-1.843985e-02	-2.891423e-02
2.530900314755037e+00	-6.900025e-02	-9.705181e-02
2.559828881363408e+00	-1.362361e-01	-1.877809e-01
2.617686014580158e+00	-2.697965e-01	-3.683753e-01
2.697686014580157e+00	-4.518967e-01	-6.146809e-01
2.777686014580155e+00	-6.300197e-01	-8.547795e-01
2.839666665399996e+00	-7.649944e-01	-1.034986e+00
2.850809522542853e+00	-7.885964e-01	-1.066769e+00
2.861952379685711e+00	-8.120340e-01	-1.098326e+00
2.873095236828568e+00	-8.353071e-01	-1.129657e+00
2.884238093971426e+00	-8.584158e-01	-1.160761e+00
2.895380951114284e+00	-8.813601e-01	-1.191640e+00
2.906523808257141e+00	-9.041399e-01	-1.222293e+00
2.917666665399999e+00	-9.267553e-01	-1.252720e+00
2.918666665399996e+00	-9.287747e-01	-1.255437e+00
2.919266665399995e+00	-9.299854e-01	-1.257067e+00
2.919666665399994e+00	-9.307923e-01	-1.258153e+00
2.919946665399991e+00	-9.313570e-01	-1.258913e+00
2.967716189199991e+00	-1.025159e+00	-1.387126e+00
3.015485712999992e+00	-1.114980e+00	-1.509344e+00
3.063255236799992e+00	-1.200819e+00	-1.625568e+00
3.111024760599993e+00	-1.282677e+00	-1.735796e+00
3.158794284399994e+00	-1.360553e+00	-1.840030e+00
3.206563808199994e+00	-1.434448e+00	-1.938270e+00
3.254333331999995e+00	-1.504361e+00	-2.030514e+00
3.334333331999993e+00	-1.605875e+00	-2.166633e+00
3.334476189142850e+00	-1.606041e+00	-2.166856e+00
3.334619046285706e+00	-1.606208e+00	-2.167080e+00
3.334761903428563e+00	-1.606374e+00	-2.167304e+00
3.334904760571420e+00	-1.606541e+00	-2.167528e+00
3.335047617714277e+00	-1.606707e+00	-2.167751e+00
3.335190474857133e+00	-1.606874e+00	-2.167975e+00
3.335333331999990e+00	-1.607040e+00	-2.168198e+00
3.374717043921685e+00	-1.649802e+00	-2.227339e+00
3.414100755843381e+00	-1.688568e+00	-2.280755e+00
3.453484467765076e+00	-1.723335e+00	-2.328447e+00
3.492868179686770e+00	-1.754106e+00	-2.370414e+00
3.532251891608466e+00	-1.780880e+00	-2.406657e+00
3.571635603530161e+00	-1.803656e+00	-2.437176e+00
3.611019315451856e+00	-1.822435e+00	-2.461969e+00
3.626730841630172e+00	-1.829692e+00	-2.470073e+00
3.642442367808489e+00	-1.836003e+00	-2.477207e+00
3.658153893986806e+00	-1.841366e+00	-2.483372e+00
3.673865420165122e+00	-1.845783e+00	-2.488568e+00
3.689576946343439e+00	-1.849253e+00	-2.492795e+00
3.705288472521756e+00	-1.851776e+00	-2.496052e+00
3.720999998700073e+00	-1.853353e+00	-2.498340e+00
3.748999998700008e+00	-1.854692e+00	-2.499998e+00
3.750999998700003e+00	-1.854699e+00	-2.499998e+00
3.751999998700001e+00	-1.854699e+00	-2.499992e+00
3.752099998700004e+00	-1.854699e+00	-2.499991e+00
3.752299998700003e+00	-1.854699e+00	-2.499990e+00
3.752599998699999e+00	-1.854697e+00	-2.499987e+00
3.752999998699998e+00	-1.854696e+00	-2.499982e+00
3.753039998699997e+00	-1.854696e+00	-2.499982e+00
3.753119998699994e+00	-1.854695e+00	-2.499981e+00
3.753599998699997e+00	-1.854692e+00	-2.499974e+00
3.754239998699994e+00	-1.854687e+00	-2.499964e+00
3.793919998699899e+00	-1.851426e+00	-2.496193e+00
3.834879998699805e+00	-1.842098e+00	-2.485792e+00
3.914879998699803e+00	-1.811078e+00	-2.446530e+00
3.994879998699801e+00	-1.764054e+00	-2.382563e+00
4.087666665299999e+00	-1.691288e+00	-2.278293e+00
4.167666665299997e+00	-1.606565e+00	-2.163491e+00
4.168666665299995e+00	-1.605399e+00	-2.161915e+00
4.196621805795613e+00	-1.571101e+00	-2.116371e+00
4.224576946291230e+00	-1.535012e+00	-2.068358e+00
4.252532086786848e+00	-1.497131e+00	-2.017876e+00
4.280487227282466e+00	-1.457459e+00	-1.964926e+00
4.308442367778084e+00	-1.415995e+00	-1.909506e+00
4.336397508273702e+00	-1.372740e+00	-1.851618e+00
4.364352648769319e+00	-1.327693e+00	-1.791260e+00
4.444352648769318e+00	-1.192415e+00	-1.607190e+00
4.464492746373701e+00	-1.156890e+00	-1.558113e+00
4.484632843978083e+00	-1.120516e+00	-1.508126e+00
4.504772941582466e+00	-1.083294e+00	-1.457231e+00
4.524913039186849e+00	-1.045223e+00	-1.405426e+00
4.545053136791232e+00	-1.006305e+00	-1.352711e+00
4.565193234395615e+00	-9.665390e-01	-1.299088e+00
4.585333331999998e+00	-9.259247e-01	-1.244555e+00
4.586333331999995e+00	-9.239035e-01	-1.241829e+00
4.587790474857135e+00	-9.209555e-01	-1.237854e+00
4.589247617714274e+00	-9.180036e-01	-1.233875e+00
4.590704760571414e+00	-9.150480e-01	-1.229891e+00
4.592161903428553e+00	-9.120885e-01	-1.225904e+00
4.593619046285693e+00	-9.091253e-01	-1.221912e+00
4.595076189142832e+00	-9.061583e-01	-1.217916e+00
4.596533331999971e+00	-9.031875e-01	-1.213916e+00
4.627253331999896e+00	-8.397232e-01	-1.128664e+00
4.668213331999802e+00	-7.528802e-01	-1.012401e+00
4.748213331999800e+00	-5.785455e-01	-7.778788e-01
4.828213331999798e+00	-3.993267e-01	-5.355018e-01
4.920999998599996e+00	-1.869270e-01	-2.477784e-01
4.985213317044682e+00	-3.750287e-02	-4.645106e-02
4.992213317044666e+00	-2.118056e-02	-2.446220e-02
4.994573361710707e+00	-1.567712e-02	-1.704815e-02
4.997720087932095e+00	-8.339071e-03	-7.162545e-03
4.998720087932092e+00	-6.007094e-03	-4.020961e-03
4.998999998599999e+00	-5.354347e-03	-3.141596e-03
4.999559819935811e+00	-4.048852e-03	-1.382866e-03
4.999880355928369e+00	-3.301368e-03	-3.758729e-04
5.000999998599994e+00	-6.903839e-04	3.141587e-03
5.001064105798505e+00	-5.408875e-04	3.342986e-03
5.001192320195528e+00	-2.418948e-04	3.745783e-03
5.001448748989574e+00	3.560905e-04	4.551377e-03
5.001487141011907e+00	4.456196e-04	4.671989e-03
5.001563925056573e+00	6.246777e-04	4.913212e-03
5.001717493145904e+00	9.827939e-04	5.395660e-03
5.001999998599992e+00	1.641588e-03	6.283174e-03
5.002028249145404e+00	1.707467e-03	6.371926e-03
5.002084750236222e+00	1.839226e-03	6.549429e-03
5.002197752417857e+00	2.102743e-03	6.904434e-03
5.002423756781134e+00	2.629776e-03	7.614445e-03
5.002875765507689e+00	3.683840e-03	9.034464e-03
5.003779782960791e+00	5.791955e-03	1.187449e-02
5.005587817866996e+00	1.000811e-02	1.755450e-02
5.009203887679412e+00	1.843998e-02	2.891422e-02
5.030900306553903e+00	6.900035e-02	9.705178e-02
5.059828865053220e+00	1.362362e-01	1.877809e-01
5.117685982051860e+00	2.697965e-01	3.683752e-01
5.197685982051858e+00	4.518966e-01	6.146808e-01
5.277685982051857e+00	6.300195e-01	8.547794e-01
5.297683222515878e+00	6.741478e-01	9.136528e-01
5.317680462979899e+00	7.176969e-01	9.718513e-01
5.337677703443920e+00	7.606669e-01	1.029375e+00
5.357674943907941e+00	8.030577e-01	1.086223e+00
5.377672184371962e+00	8.448694e-01	1.142397e+00
5.397669424835983e+00	8.861019e-01	1.197896e+00
5.417666665300004e+00	9.267552e-01	1.252720e+00
5.418666665300002e+00	9.287747e-01	1.255437e+00
5.419266665300000e+00	9.299853e-01	1.257067e+00
5.419666665299999e+00	9.307923e-01	1.258153e+00
5.419946665299996e+00	9.313569e-01	1.258913e+00
5.475396188644221e+00	1.040769e+00	1.407891e+00
5.530845711988447e+00	1.144330e+00	1.548421e+00
5.586295235332672e+00	1.242038e+00	1.680501e+00
5.641744758676898e+00	1.333895e+00	1.804133e+00
5.697194282021123e+00	1.419899e+00	1.919315e+00
5.752643805365349e+00	1.500052e+00	2.026049e+00
5.808093328709575e+00	1.574352e+00	2.124334e+00
5.834333331899998e+00	1.605875e+00	2.166633e+00
5.834476189042855e+00	1.606041e+00	2.166856e+00
5.834619046185712e+00	1.606208e+00	2.167080e+00
5.834761903328569e+00	1.606374e+00	2.167304e+00
5.834904760471425e+00	1.606541e+00	2.167528e+00
5.835047617614282e+00	1.606707e+00	2.167751e+00
5.835190474757139e+00	1.606874e+00	2.167975e+00
5.835333331899996e+00	1.607040e+00	2.168198e+00
5.874717043824185e+00	1.649802e+00	2.227339e+00
5.914100755748374e+00	1.688568e+00	2.280755e+00
5.953484467672562e+00	1.723336e+00	2.328447e+00
5.992868179596752e+00	1.754106e+00	2.370414e+00
6.032251891520941e+00	1.780880e+00	2.406657e+00
6.071635603445130e+00	1.803656e+00	2.437176e+00
6.111019315369319e+00	1.822435e+00	2.461969e+00
6.126730841545140e+00	1.829692e+00	2.470073e+00
6.142442367720962e+00	1.836003e+00	2.477207e+00
6.158153893896784e+00	1.841366e+00	2.483372e+00
6.173865420072606e+00	1.845783e+00	2.488568e+00
6.189576946248428e+00	1.849253e+00	2.492795e+00
6.205288472424249e+00	1.851776e+00	2.496052e+00
6.220999998600071e+00	1.853353e+00	2.498340e+00
6.248999998600006e+00	1.854692e+00	2.499998e+00
6.250999998600001e+00	1.854699e+00	2.499998e+00
6.251999998599999e+00	1.854699e+00	2.499992e+00
6.252099998600002e+00	1.854699e+00	2.499991e+00
6.252299998600002e+00	1.854699e+00	2.499990e+00
6.252599998599997e+00	1.854697e+00	2.499987e+00
6.252999998599996e+00	1.854696e+00	2.499982e+00
6.253039998599995e+00	1.854696e+00	2.499982e+00
6.253119998599992e+00	1.854695e+00	2.499981e+00
6.253599998599995e+00	1.854692e+00	2.499974e+00
6.254239998599992e+00	1.854687e+00	2.499964e+00
6.293919998599897e+00	1.851426e+00	2.496193e+00
6.334879998599803e+00	1.842098e+00	2.485792e+00
6.414879998599801e+00	1.811078e+00	2.446530e+00
6.494879998599799e+00	1.764054e+00	2.382563e+00
6.587666665199997e+00	1.691288e+00	2.278293e+00
6.667666665199995e+00	1.606565e+00	2.163491e+00
6.668666665199993e+00	1.605399e+00	2.161915e+00
6.696621805693117e+00	1.571101e+00	2.116371e+00
6.724576946186240e+00	1.535012e+00	2.068358e+00
6.752532086679365e+00	1.497131e+00	2.017876e+00
6.780487227172488e+00	1.457459e+00	1.964926e+00
6.808442367665612e+00	1.415995e+00	1.909506e+00
6.836397508158736e+00	1.372740e+00	1.851618e+00
6.864352648651860e+00	1.327693e+00	1.791260e+00
6.944352648651858e+00	1.192415e+00	1.607190e+00
6.964492746258736e+00	1.156890e+00	1.558113e+00
6.984632843865613e+00	1.120516e+00	1.508126e+00
7.004772941472491e+00	1.083294e+00	1.457231e+00
7.024913039079370e+00	1.045223e+00	1.405426e+00
7.045053136686247e+00	1.006305e+00	1.352711e+00
7.065193234293125e+00	9.665390e-01	1.299088e+00
7.085333331900003e+00	9.259247e-01	1.244555e+00
7.086333331900001e+00	9.239035e-01	1.241829e+00
7.087790474757140e+00	9.209555e-01	1.237854e+00
7.089247617614279e+00	9.180036e-01	1.233875e+00
7.090704760471419e+00	9.150480e-01	1.229891e+00
7.092161903328559e+00	9.120885e-01	1.225904e+00
7.093619046185698e+00	9.091253e-01	1.221912e+00
7.095076189042837e+00	9.061583e-01	1.217916e+00
7.096533331899977e+00	9.031875e-01	1.213916e+00
7.168213331899807e+00	7.528802e-01	1.012401e+00
7.248213331899805e+00	5.785455e-01	7.778788e-01
7.328213331899804e+00	3.993267e-01	5.355018e-01
7.420999998500001e+00	1.869270e-01	2.477784e-01
7.485213316944687e+00	3.750287e-02	4.645106e-02
7.492213316944671e+00	2.118056e-02	2.446220e-02
7.494573361610712e+00	1.567712e-02	1.704816e-02
7.497720087832100e+00	8.339071e-03	7.162545e-03
7.498720087832098e+00	6.007094e-03	4.020961e-03
7.498999998500004e+00	5.354347e-03	3.141596e-03
7.499559819835817e+00	4.048853e-03	1.382867e-03
7.499880355828374e+00	3.301368e-03	3.758733e-04
7.500999998499999e+00	6.903842e-04	-3.141587e-03
7.501064105698511e+00	5.408878e-04	-3.342986e-03
7.501192320095534e+00	2.418951e-04	-3.745783e-03
7.501448748889580e+00	-3.560902e-04	-4.551376e-03
7.501487140911905e+00	-4.456193e-04	-4.671988e-03
7.501563924956557e+00	-6.246775e-04	-4.913212e-03
7.501717493045859e+00	-9.827936e-04	-5.395659e-03
7.501999998499997e+00	-1.641587e-03	-6.283174e-03
7.502028249045409e+00	-1.707467e-03	-6.371926e-03
7.502084750136234e+00	-1.839225e-03	-6.549428e-03
7.502197752317890e+00	-2.102742e-03	-6.904434e-03
7.502423756681203e+00	-2.629776e-03	-7.614444e-03
7.502875765407822e+00	-3.683840e-03	-9.034464e-03
7.503779782861059e+00	-5.791955e-03	-1.187449e-02
7.505587817767541e+00	-1.000811e-02	-1.755450e-02
7.509203887580504e+00	-1.843998e-02	-2.891422e-02
7.530900306458264e+00	-6.900035e-02	-9.705178e-02
7.559828864961951e+00	-1.362362e-01	-1.877809e-01
7.617685981969323e+00	-2.697965e-01	-3.683752e-01
7.697685981969322e+00	-4.518966e-01	-6.146808e-01
7.777685981969320e+00	-6.300195e-01	-8.547794e-01
7.839666665199999e+00	-7.649944e-01	-1.034986e+00
7.850809522342857e+00	-7.885964e-01	-1.066769e+00
