time	V(y)	V(sine)
0.000000000000000e+00	-1.129234e-01	-6.123234e-15
9.999999999976694e-05	-1.122454e-01	7.853981e-04
2.999999999993008e-04	-1.108895e-01	2.356194e-03
5.999999999986017e-04	-1.088555e-01	4.712386e-03
6.574426685830304e-04	-1.084661e-01	5.163539e-03
7.148853371674591e-04	-1.080766e-01	5.614692e-03
7.723280057518878e-04	-1.076872e-01	6.065845e-03
8.297706743363166e-04	-1.072977e-01	6.516997e-03
8.872133429207453e-04	-1.069082e-01	6.968149e-03
9.446560115051740e-04	-1.065187e-01	7.419300e-03
1.002098680089603e-03	-1.061292e-01	7.870452e-03
1.020973552565506e-03	-1.060012e-01	8.018694e-03
1.039848425041409e-03	-1.058733e-01	8.166936e-03
1.058723297517312e-03	-1.057453e-01	8.315178e-03
1.077598169993215e-03	-1.056173e-01	8.463420e-03
1.096473042469118e-03	-1.054893e-01	8.611662e-03
1.115347914945021e-03	-1.053613e-01	8.759904e-03
1.134222787420924e-03	-1.052333e-01	8.908146e-03
1.268444102805688e-03	-1.043232e-01	9.962310e-03
1.536886733575216e-03	-1.025030e-01	1.207063e-02
1.999999999998892e-03	-9.936257e-02	1.570786e-02
2.046311326640904e-03	-9.904852e-02	1.607158e-02
2.138933979924929e-03	-9.842040e-02	1.679902e-02
2.324179286496530e-03	-9.716414e-02	1.825390e-02
2.694669899639734e-03	-9.465151e-02	2.116363e-02
3.435651125922590e-03	-8.962587e-02	2.698302e-02
1.380938829389322e-02	-1.923943e-02	1.084247e-01
2.566508791442956e-02	6.112905e-02	2.013548e-01
4.937648715550225e-02	2.209671e-01	3.862486e-01
8.937648715550139e-02	4.867435e-01	6.927738e-01
1.293764871555005e-01	7.449922e-01	9.883735e-01
1.693764871554997e-01	9.914236e-01	1.268386e+00
2.093764871554988e-01	1.222172e+00	1.528395e+00
2.493764871554980e-01	1.433620e+00	1.764301e+00
2.893764871554971e-01	1.622452e+00	1.972382e+00
3.293764871554963e-01	1.785706e+00	2.149358e+00
3.693764871554954e-01	1.926879e+00	2.292437e+00
3.776666683000443e-01	1.952151e+00	2.317633e+00
3.942470305891419e-01	1.996783e+00	2.363291e+00
4.045383546962604e-01	2.022036e+00	2.388414e+00
4.176666683000434e-01	2.051640e+00	2.416835e+00
4.216051623811801e-01	2.059552e+00	2.424562e+00
4.373591387057196e-01	2.087309e+00	2.451747e+00
4.583644404717724e-01	2.115370e+00	2.478644e+00
4.904790419315823e-01	2.141471e+00	2.498882e+00
5.264603443448337e-01	2.146158e+00	2.491367e+00
5.664603443448328e-01	2.120085e+00	2.445705e+00
6.064603443448320e-01	2.061473e+00	2.361473e+00
6.464603443448311e-01	1.970390e+00	2.240000e+00
6.864603443448303e-01	1.848262e+00	2.083200e+00
7.264603443448294e-01	1.697004e+00	1.893546e+00
7.664603443448286e-01	1.520735e+00	1.674030e+00
7.943333350000437e-01	1.385647e+00	1.505234e+00
7.976805278747641e-01	1.368463e+00	1.484162e+00
8.043749136242049e-01	1.332911e+00	1.441527e+00
8.212050213753201e-01	1.241731e+00	1.331566e+00
8.343333350000428e-01	1.168078e+00	1.243192e+00
8.387052837842219e-01	1.143041e+00	1.213285e+00
8.437017966804277e-01	1.114107e+00	1.178826e+00
8.536948224728356e-01	1.055257e+00	1.109044e+00
8.736808740576514e-01	9.341422e-01	9.662721e-01
9.111427641819461e-01	6.989356e-01	6.888544e-01
9.511427641819452e-01	4.390136e-01	3.822189e-01
9.911427641819444e-01	1.723548e-01	6.955559e-02
1.031142764181944e+00	-9.704897e-02	-2.442047e-01
1.071142764181943e+00	-3.649533e-01	-5.541137e-01
1.111142764181942e+00	-6.271344e-01	-8.552840e-01
1.151142764181941e+00	-8.794557e-01	-1.142966e+00
1.191142764181940e+00	-1.120270e+00	-1.412623e+00
1.214347194594808e+00	-1.253432e+00	-1.559102e+00
1.237871688054376e+00	-1.379577e+00	-1.699144e+00
1.251000001700042e+00	-1.446822e+00	-1.773312e+00
1.261972777794717e+00	-1.500581e+00	-1.833099e+00
1.272945553889392e+00	-1.552289e+00	-1.890563e+00
1.283918329984067e+00	-1.601946e+00	-1.945705e+00
1.294891106078742e+00	-1.649552e+00	-1.998524e+00
1.305863882173417e+00	-1.695107e+00	-2.049021e+00
1.316836658268091e+00	-1.738610e+00	-2.097195e+00
1.327809434362766e+00	-1.780063e+00	-2.143046e+00
1.367809434362766e+00	-1.915985e+00	-2.287499e+00
1.407809434362765e+00	-2.022139e+00	-2.395877e+00
1.447809434362764e+00	-2.096423e+00	-2.466471e+00
1.487809434362763e+00	-2.138162e+00	-2.498167e+00
1.525467120384267e+00	-2.146202e+00	-2.492003e+00
1.565467120384266e+00	-2.121408e+00	-2.447310e+00
1.605467120384265e+00	-2.067262e+00	-2.364022e+00
1.627666668400042e+00	-2.025068e+00	-2.301603e+00
1.637708247144460e+00	-2.000756e+00	-2.269673e+00
1.654538354733432e+00	-1.955991e+00	-2.211108e+00
1.667666668400042e+00	-1.917120e+00	-2.161126e+00
1.673287746026439e+00	-1.899299e+00	-2.138584e+00
1.678908823652838e+00	-1.880785e+00	-2.115392e+00
1.684529901279235e+00	-1.861578e+00	-2.091549e+00
1.690150978905633e+00	-1.841677e+00	-2.067056e+00
1.695772056532031e+00	-1.821083e+00	-2.041912e+00
1.701393134158429e+00	-1.799796e+00	-2.016118e+00
1.707014211784827e+00	-1.777815e+00	-1.989673e+00
1.744476104543089e+00	-1.620345e+00	-1.798177e+00
1.784476104543089e+00	-1.430732e+00	-1.566316e+00
1.824476104543088e+00	-1.218986e+00	-1.309753e+00
1.864476104543087e+00	-9.880129e-01	-1.032535e+00
1.904476104543086e+00	-7.414500e-01	-7.390326e-01
1.944476104543085e+00	-4.831811e-01	-4.338756e-01
1.984476104543084e+00	-2.172768e-01	-1.218761e-01
2.024476104543083e+00	5.230353e-02	1.920455e-01
2.047680528034899e+00	2.091874e-01	3.730831e-01
2.071205021412489e+00	3.671428e-01	5.545905e-01
2.078087692949424e+00	4.129955e-01	6.071662e-01
2.084333335100045e+00	4.545000e-01	6.546308e-01
2.084957899315107e+00	4.586352e-01	6.593637e-01
2.095841452945024e+00	5.303247e-01	7.415688e-01
2.106725006574941e+00	6.011026e-01	8.226997e-01
2.117608560204857e+00	6.709687e-01	9.027565e-01
2.128492113834774e+00	7.399231e-01	9.817390e-01
2.139375667464691e+00	8.079658e-01	1.059647e+00
2.150259221094608e+00	8.750969e-01	1.136482e+00
2.161142774724524e+00	9.413162e-01	1.212242e+00
2.201142774724524e+00	1.175371e+00	1.476715e+00
2.241142774724523e+00	1.391117e+00	1.717899e+00
2.281142774724522e+00	1.584952e+00	1.931992e+00
2.321142774724521e+00	1.753820e+00	2.115615e+00
2.361142774724520e+00	1.895058e+00	2.265875e+00
2.401142774724519e+00	2.006436e+00	2.380399e+00
2.441142774724518e+00	2.090376e+00	2.457384e+00
2.461000001800045e+00	2.121669e+00	2.481259e+00
2.471041580664739e+00	2.132344e+00	2.489661e+00
2.487430347084207e+00	2.145831e+00	2.498051e+00
2.489226012300761e+00	2.146921e+00	2.498568e+00
2.491021677517315e+00	2.147943e+00	2.499006e+00
2.492817342733869e+00	2.148896e+00	2.499364e+00
2.494613007950423e+00	2.149780e+00	2.499642e+00
2.496408673166977e+00	2.150596e+00	2.499841e+00
2.498204338383531e+00	2.151344e+00	2.499960e+00
2.500000003600086e+00	2.152023e+00	2.500000e+00
2.501000001800044e+00	2.152373e+00	2.499988e+00
2.501100001620038e+00	2.152406e+00	2.499985e+00
2.501300001260031e+00	2.152472e+00	2.499979e+00
2.501600000720018e+00	2.152569e+00	2.499969e+00
2.502000000000002e+00	2.152697e+00	2.499951e+00
2.502039999928002e+00	2.152709e+00	2.499949e+00
2.502279999495993e+00	2.152784e+00	2.499936e+00
2.502599998919980e+00	2.152880e+00	2.499917e+00
2.503000000000004e+00	2.153000e+00	2.499889e+00
2.503040000108005e+00	2.153011e+00	2.499886e+00
2.503120000324010e+00	2.153035e+00	2.499880e+00
2.503280000756021e+00	2.153080e+00	2.499867e+00
2.503600001620040e+00	2.153170e+00	2.499840e+00
2.509360017172386e+00	2.154306e+00	2.498918e+00
2.515120032724731e+00	2.154571e+00	2.497179e+00
2.520880048277077e+00	2.153966e+00	2.494624e+00
2.526640063829423e+00	2.152490e+00	2.491253e+00
2.532400079381769e+00	2.150145e+00	2.487065e+00
2.538160094934115e+00	2.146928e+00	2.482061e+00
2.543920110486461e+00	2.142842e+00	2.476240e+00
2.583514327420673e+00	2.099488e+00	2.414446e+00
2.623514327420672e+00	2.026821e+00	2.314139e+00
2.663514327420671e+00	1.922289e+00	2.177336e+00
2.703514327420670e+00	1.787451e+00	2.006196e+00
2.743514327420669e+00	1.624429e+00	1.803416e+00
2.783514327420669e+00	1.435788e+00	1.572196e+00
2.823514327420668e+00	1.224501e+00	1.316181e+00
2.863514327420667e+00	9.963319e-01	1.039409e+00
2.877666668500048e+00	9.114813e-01	9.373255e-01
2.894276032817572e+00	8.085673e-01	8.151709e-01
2.904104125770147e+00	7.463048e-01	7.418230e-01
2.917666668500047e+00	6.596801e-01	6.394581e-01
2.927160448410977e+00	5.980572e-01	5.671008e-01
2.938010482594898e+00	5.268937e-01	4.837929e-01
2.959710550962740e+00	3.828678e-01	3.155884e-01
2.998783543061009e+00	1.206677e-01	9.554007e-03
3.038783543061008e+00	-1.487849e-01	-3.038521e-01
3.078783543061007e+00	-4.158823e-01	-6.124663e-01
3.118783543061006e+00	-6.764424e-01	-9.114216e-01
3.158783543061006e+00	-9.263601e-01	-1.196003e+00
3.198783543061005e+00	-1.161695e+00	-1.461723e+00
3.238783543061004e+00	-1.378735e+00	-1.704391e+00
3.278783543061003e+00	-1.577944e+00	-1.920179e+00
3.294333335200047e+00	-1.649460e+00	-1.996063e+00
3.303233750921958e+00	-1.687679e+00	-2.037366e+00
3.316532503756225e+00	-1.742443e+00	-2.096102e+00
3.326766778473019e+00	-1.782579e+00	-2.138818e+00
3.334333335200046e+00	-1.810919e+00	-2.168980e+00
3.341607894124791e+00	-1.836980e+00	-2.196843e+00
3.348882453049536e+00	-1.861879e+00	-2.223530e+00
3.356157011974281e+00	-1.885616e+00	-2.249041e+00
3.363431570899026e+00	-1.908191e+00	-2.273375e+00
3.370706129823771e+00	-1.929604e+00	-2.296532e+00
3.377980688748516e+00	-1.949855e+00	-2.318513e+00
3.385255247673260e+00	-1.968944e+00	-2.339318e+00
3.425255247673260e+00	-2.058615e+00	-2.431392e+00
3.465255247673259e+00	-2.119986e+00	-2.485121e+00
3.498557067166164e+00	-2.146071e+00	-2.499974e+00
3.529463685499213e+00	-2.146729e+00	-2.489298e+00
3.569463685499212e+00	-2.117101e+00	-2.440707e+00
3.609463685499211e+00	-2.056033e+00	-2.353625e+00
3.649463685499210e+00	-1.962556e+00	-2.229425e+00
3.689463685499209e+00	-1.841427e+00	-2.070066e+00
3.714347194915085e+00	-1.752700e+00	-1.954278e+00
3.737871688128717e+00	-1.655257e+00	-1.833823e+00
3.751000001900049e+00	-1.597003e+00	-1.762205e+00
3.761972780978390e+00	-1.545462e+00	-1.699911e+00
3.772945560056730e+00	-1.492221e+00	-1.635771e+00
3.783918339135070e+00	-1.437280e+00	-1.569785e+00
3.794891118213410e+00	-1.380637e+00	-1.501953e+00
3.805863897291751e+00	-1.322293e+00	-1.432275e+00
3.816836676370091e+00	-1.262249e+00	-1.360751e+00
3.827809455448431e+00	-1.200503e+00	-1.287382e+00
3.867809455448430e+00	-9.677985e-01	-1.008636e+00
3.907809455448430e+00	-7.201555e-01	-7.139825e-01
3.947809455448429e+00	-4.611440e-01	-4.080695e-01
3.987809455448428e+00	-1.948423e-01	-9.572091e-02
4.027809455448427e+00	7.455371e-02	2.181372e-01
4.067809455448426e+00	3.427969e-01	5.285552e-01
4.107809455448425e+00	6.069862e-01	8.306375e-01
4.127666668600050e+00	7.357646e-01	9.760245e-01
4.137708247705298e+00	7.992909e-01	1.048134e+00
4.154538354807773e+00	9.041741e-01	1.166619e+00
4.167666668600049e+00	9.841992e-01	1.256796e+00
4.173287748081238e+00	1.017905e+00	1.294780e+00
4.178908827562426e+00	1.051171e+00	1.332334e+00
4.184529907043616e+00	1.083998e+00	1.369460e+00
4.190150986524805e+00	1.116385e+00	1.406157e+00
4.195772066005994e+00	1.148333e+00	1.442424e+00
4.201393145487183e+00	1.179841e+00	1.478262e+00
4.207014224968372e+00	1.210910e+00	1.513671e+00
4.244476125629745e+00	1.408679e+00	1.736825e+00
4.284476125629745e+00	1.600189e+00	1.948501e+00
4.324476125629744e+00	1.766814e+00	2.129448e+00
4.364476125629743e+00	1.905602e+00	2.276812e+00
4.404476125629742e+00	2.014364e+00	2.388269e+00
4.444476125629741e+00	2.091384e+00	2.462063e+00
4.484476125629740e+00	2.135497e+00	2.497027e+00
4.524226197429591e+00	2.150125e+00	2.492763e+00
4.547680528355183e+00	2.144680e+00	2.472005e+00
4.571205021486833e+00	2.123358e+00	2.437710e+00
4.584333335300052e+00	2.106526e+00	2.412770e+00
4.595306115373055e+00	2.088766e+00	2.388715e+00
4.606278895446058e+00	2.068508e+00	2.361900e+00
4.617251675519062e+00	2.045751e+00	2.332326e+00
4.628224455592064e+00	2.020495e+00	2.299991e+00
4.639197235665067e+00	1.992741e+00	2.264897e+00
4.650170015738071e+00	1.962488e+00	2.227043e+00
4.661142795811074e+00	1.929736e+00	2.186429e+00
4.701142795811073e+00	1.796153e+00	2.017254e+00
4.741142795811072e+00	1.634749e+00	1.816266e+00
4.781142795811071e+00	1.447567e+00	1.586634e+00
4.821142795811070e+00	1.237554e+00	1.331980e+00
4.861142795811070e+00	1.008018e+00	1.056320e+00
4.901142795811069e+00	7.625751e-01	7.640013e-01
4.941142795811068e+00	5.059741e-01	4.596338e-01
4.961000000000002e+00	3.753392e-01	3.055395e-01
4.971041575617331e+00	3.081485e-01	2.271253e-01
4.987430343107107e+00	1.979208e-01	9.869620e-02
5.000000000000000e+00	1.129631e-01	-1.227742e-15
5.000143606407266e+00	1.119912e-01	-1.127889e-03
5.000287212814533e+00	1.110192e-01	-2.255775e-03
5.000430819221799e+00	1.100473e-01	-3.383658e-03
5.000574425629067e+00	1.090753e-01	-4.511538e-03
5.000718032036333e+00	1.081034e-01	-5.639415e-03
5.000861638443600e+00	1.071314e-01	-6.767290e-03
5.001005244850866e+00	1.061595e-01	-7.895161e-03
5.001028463898779e+00	1.060023e-01	-8.077522e-03
5.001051682946691e+00	1.058451e-01	-8.259883e-03
5.001074901994603e+00	1.056880e-01	-8.442244e-03
5.001098121042516e+00	1.055308e-01	-8.624605e-03
5.001121340090429e+00	1.053736e-01	-8.806966e-03
5.001144559138341e+00	1.052165e-01	-8.989327e-03
5.001167778186254e+00	1.050593e-01	-9.171688e-03
5.001335554532460e+00	1.039236e-01	-1.048939e-02
5.001671107224873e+00	1.016521e-01	-1.312479e-02
5.002000000000002e+00	9.942561e-02	-1.570786e-02
5.002098667832541e+00	9.875763e-02	-1.648278e-02
5.002230224942593e+00	9.786698e-02	-1.751600e-02
5.002493339162697e+00	9.608563e-02	-1.958244e-02
5.003019567602905e+00	9.252269e-02	-2.371527e-02
5.004072024483321e+00	8.539597e-02	-3.198073e-02
5.006176938244153e+00	7.113969e-02	-4.851051e-02
5.018806420809142e+00	-1.441161e-02	-1.476194e-01
5.035645730895794e+00	-1.281687e-01	-2.793761e-01
5.069324351069099e+00	-3.536161e-01	-5.401781e-01
5.109324351069098e+00	-6.159030e-01	-8.418501e-01
5.149324351069097e+00	-8.686418e-01	-1.130246e+00
5.189324351069097e+00	-1.107706e+00	-1.400816e+00
5.229324351069096e+00	-1.329329e+00	-1.649295e+00
5.269324351069095e+00	-1.530018e+00	-1.871764e+00
5.309324351069094e+00	-1.706606e+00	-2.064714e+00
5.349324351069093e+00	-1.858496e+00	-2.225102e+00
5.381013861795267e+00	-1.961919e+00	-2.327361e+00
5.404538354844945e+00	-2.022432e+00	-2.388414e+00
5.417666668700051e+00	-2.051535e+00	-2.416835e+00
5.418291233189883e+00	-2.052820e+00	-2.418085e+00
5.428604600357434e+00	-2.072305e+00	-2.437402e+00
5.438917967524985e+00	-2.089512e+00	-2.454127e+00
5.449231334692535e+00	-2.104439e+00	-2.468261e+00
5.459544701860085e+00	-2.117087e+00	-2.479803e+00
5.469858069027635e+00	-2.127456e+00	-2.488755e+00
5.480171436195186e+00	-2.135546e+00	-2.495114e+00
5.490484803362737e+00	-2.141357e+00	-2.498883e+00
5.526462487380282e+00	-2.146376e+00	-2.491366e+00
5.566462487380281e+00	-2.120356e+00	-2.445702e+00
5.606462487380281e+00	-2.061767e+00	-2.361468e+00
5.646462487380280e+00	-1.970679e+00	-2.239992e+00
5.686462487380279e+00	-1.848523e+00	-2.083190e+00
5.726462487380278e+00	-1.697222e+00	-1.893535e+00
5.766462487380277e+00	-1.520899e+00	-1.674018e+00
5.794333335400051e+00	-1.385781e+00	-1.505234e+00
5.797680528515311e+00	-1.368592e+00	-1.484162e+00
5.804374914745832e+00	-1.333030e+00	-1.441527e+00
5.821205021524001e+00	-1.241825e+00	-1.331566e+00
5.834333335400050e+00	-1.168153e+00	-1.243192e+00
5.839954416117664e+00	-1.135868e+00	-1.204678e+00
5.845575496835279e+00	-1.103203e+00	-1.165816e+00
5.851196577552893e+00	-1.070157e+00	-1.126605e+00
5.856817658270509e+00	-1.036731e+00	-1.087045e+00
5.862438738988123e+00	-1.002923e+00	-1.047136e+00
5.868059819705738e+00	-9.687348e-01	-1.006878e+00
5.873680900423352e+00	-9.341657e-01	-9.662719e-01
5.911142806353038e+00	-6.989175e-01	-6.888541e-01
5.951142806353037e+00	-4.389600e-01	-3.822186e-01
5.991142806353036e+00	-1.722761e-01	-6.955526e-02
6.031142806353035e+00	9.714194e-02	2.442050e-01
6.071142806353034e+00	3.650506e-01	5.541140e-01
6.111142806353033e+00	6.272275e-01	8.552843e-01
6.151142806353032e+00	8.795381e-01	1.142966e+00
6.191142806353032e+00	1.120337e+00	1.412623e+00
6.214347195235362e+00	1.253489e+00	1.559102e+00
6.237871688203061e+00	1.379623e+00	1.699144e+00
6.251000002100053e+00	1.446862e+00	1.773312e+00
6.261972784162098e+00	1.500616e+00	1.833099e+00
6.272945566224142e+00	1.552319e+00	1.890563e+00
6.283918348286187e+00	1.601971e+00	1.945705e+00
6.294891130348232e+00	1.649572e+00	1.998524e+00
6.305863912410277e+00	1.695122e+00	2.049021e+00
6.316836694472321e+00	1.738621e+00	2.097195e+00
6.327809476534366e+00	1.780069e+00	2.143046e+00
6.367809476534365e+00	1.915977e+00	2.287500e+00
6.407809476534364e+00	2.022120e+00	2.395878e+00
6.447809476534363e+00	2.096397e+00	2.466471e+00
6.487809476534363e+00	2.138132e+00	2.498167e+00
6.525467136078099e+00	2.146170e+00	2.492003e+00
6.565467136078098e+00	2.121379e+00	2.447310e+00
6.605467136078097e+00	2.067236e+00	2.364022e+00
6.627666668800053e+00	2.025045e+00	2.301603e+00
6.637708248266112e+00	2.000734e+00	2.269673e+00
6.654538354882114e+00	1.955971e+00	2.211108e+00
6.667666668800052e+00	1.917102e+00	2.161126e+00
6.673287750135934e+00	1.899283e+00	2.138584e+00
6.678908831471816e+00	1.880769e+00	2.115392e+00
6.684529912807697e+00	1.861563e+00	2.091549e+00
6.690150994143579e+00	1.841663e+00	2.067056e+00
6.695772075479461e+00	1.821070e+00	2.041912e+00
6.701393156815342e+00	1.799783e+00	2.016118e+00
6.707014238151224e+00	1.777803e+00	1.989673e+00
6.744476146715293e+00	1.620339e+00	1.798177e+00
6.784476146715292e+00	1.430730e+00	1.566316e+00
6.824476146715291e+00	1.218989e+00	1.309753e+00
6.864476146715290e+00	9.880193e-01	1.032534e+00
6.904476146715290e+00	7.414586e-01	7.390323e-01
6.944476146715289e+00	4.831908e-01	4.338752e-01
6.984476146715288e+00	2.172866e-01	1.218757e-01
7.024476146715287e+00	-5.229436e-02	-1.920458e-01
7.047680528675457e+00	-2.091786e-01	-3.730831e-01
7.071205021561173e+00	-3.671350e-01	-5.545905e-01
7.078087689227797e+00	-4.129880e-01	-6.071662e-01
7.084333335500055e+00	-4.544927e-01	-6.546308e-01
7.084957900127282e+00	-4.586280e-01	-6.593637e-01
7.095841459665759e+00	-5.303181e-01	-7.415689e-01
7.106725019204236e+00	-6.010964e-01	-8.226998e-01
7.117608578742713e+00	-6.709631e-01	-9.027566e-01
7.128492138281191e+00	-7.399181e-01	-9.817392e-01
7.139375697819667e+00	-8.079614e-01	-1.059648e+00
7.150259257358145e+00	-8.750930e-01	-1.136482e+00
7.161142816896621e+00	-9.413129e-01	-1.212242e+00
7.201142816896621e+00	-1.175369e+00	-1.476715e+00
7.241142816896620e+00	-1.391117e+00	-1.717900e+00
7.281142816896619e+00	-1.584953e+00	-1.931992e+00
7.321142816896618e+00	-1.753822e+00	-2.115616e+00
7.361142816896617e+00	-1.895061e+00	-2.265875e+00
7.401142816896616e+00	-2.006439e+00	-2.380400e+00
7.441142816896615e+00	-2.090379e+00	-2.457384e+00
7.461000002200056e+00	-2.121672e+00	-2.481259e+00
7.471041581786391e+00	-2.132348e+00	-2.489661e+00
7.487430347968015e+00	-2.145834e+00	-2.498051e+00
7.489226013172599e+00	-2.146924e+00	-2.498568e+00
7.491021678377185e+00	-2.147945e+00	-2.499006e+00
7.492817343581769e+00	-2.148898e+00	-2.499364e+00
7.494613008786353e+00	-2.149783e+00	-2.499642e+00
7.496408673990937e+00	-2.150599e+00	-2.499841e+00
7.498204339195523e+00	-2.151347e+00	-2.499960e+00
7.500000004400107e+00	-2.152026e+00	-2.500000e+00
7.501000002200055e+00	-2.152376e+00	-2.499988e+00
7.501100001980049e+00	-2.152409e+00	-2.499985e+00
7.501300001540038e+00	-2.152475e+00	-2.499979e+00
7.501600000880025e+00	-2.152572e+00	-2.499969e+00
7.502000000000002e+00	-2.152700e+00	-2.499951e+00
7.502039999912000e+00	-2.152712e+00	-2.499949e+00
7.502279999383987e+00	-2.152786e+00	-2.499936e+00
7.502599998679969e+00	-2.152883e+00	-2.499917e+00
7.503000000000004e+00	-2.153003e+00	-2.499889e+00
7.503040000132007e+00	-2.153014e+00	-2.499886e+00
7.503120000396013e+00	-2.153037e+00	-2.499880e+00
7.503280000924025e+00	-2.153083e+00	-2.499867e+00
7.503600001980054e+00	-2.153173e+00	-2.499840e+00
7.509360020988554e+00	-2.154308e+00	-2.498918e+00
7.515120039997053e+00	-2.154574e+00	-2.497179e+00
7.520880059005553e+00	-2.153969e+00	-2.494624e+00
7.526640078014053e+00	-2.152493e+00	-2.491253e+00
7.532400097022554e+00	-2.150147e+00	-2.487065e+00
7.538160116031053e+00	-2.146931e+00	-2.482061e+00
7.543920135039553e+00	-2.142844e+00	-2.476240e+00
7.583514366562756e+00	-2.099489e+00	-2.414446e+00
7.623514366562755e+00	-2.026822e+00	-2.314139e+00
7.663514366562755e+00	-1.922290e+00	-2.177336e+00
7.703514366562754e+00	-1.787451e+00	-2.006196e+00
7.743514366562753e+00	-1.624428e+00	-1.803416e+00
7.783514366562752e+00	-1.435787e+00	-1.572196e+00
