time	V(y)	V(recti)
0.000000000000000e+00	-1.837688e-02	-3.019339e-09
9.999988000046756e-04	-1.833463e-02	-3.019408e-09
1.999998800002345e-03	-1.829159e-02	-3.019468e-09
1.369716271176915e-02	-1.768763e-02	-3.019349e-09
2.539432662353595e-02	-1.701246e-02	-3.017998e-09
3.709149053530275e-02	-1.626609e-02	-3.015416e-09
4.878865444706956e-02	-1.544852e-02	-3.011602e-09
6.048581835883636e-02	-1.455975e-02	-3.006557e-09
7.218298227060316e-02	-1.359978e-02	-3.000280e-09
8.388014618236994e-02	-1.256861e-02	-2.992773e-09
1.446848018575047e-01	-7.274092e-03	-2.940872e-09
1.995900648553430e-01	-2.620768e-03	-2.871507e-09
2.539990646725769e-01	1.282090e-03	-2.779391e-09
3.081676181898807e-01	4.161724e-03	-2.666962e-09
3.478723132117914e-01	5.650504e-03	-2.573559e-09
3.488723132117926e-01	5.677390e-03	-2.571030e-09
3.548723132117999e-01	5.801545e-03	-2.555238e-09
3.628723132118097e-01	5.937849e-03	-2.533684e-09
3.788723132118292e-01	6.151835e-03	-2.489559e-09
3.866666654999626e-01	6.219706e-03	-2.467411e-09
4.032553700762307e-01	6.297151e-03	-2.419052e-09
4.106666654999920e-01	6.294279e-03	-2.396730e-09
4.186666655000018e-01	6.270623e-03	-2.372219e-09
4.196666655000030e-01	6.266130e-03	-2.369124e-09
4.271486843100831e-01	6.216854e-03	-2.345664e-09
4.346307031201633e-01	6.150980e-03	-2.321766e-09
4.421127219302434e-01	6.068508e-03	-2.297430e-09
4.495947407403236e-01	5.969438e-03	-2.272655e-09
4.570767595504037e-01	5.853770e-03	-2.247442e-09
4.645587783604839e-01	5.721504e-03	-2.221790e-09
4.720407971705640e-01	5.572641e-03	-2.195700e-09
5.143389675327477e-01	4.620317e-03	-2.043063e-09
5.533453597870590e-01	3.567098e-03	-1.891836e-09
6.167065597300478e-01	1.752229e-03	-1.627082e-09
6.719320077367676e-01	3.040106e-04	-1.379513e-09
7.288947384554767e-01	-8.868441e-04	-1.107082e-09
7.791448486517325e-01	-1.676005e-03	-8.563439e-10
7.851448486517398e-01	-1.733378e-03	-8.251826e-10
7.931448486517496e-01	-1.799908e-03	-7.833303e-10
8.101448486517704e-01	-1.922955e-03	-6.938327e-10
8.161448486517777e-01	-1.954276e-03	-6.618723e-10
8.271448486517912e-01	-2.001917e-03	-6.029740e-10
8.343333321000017e-01	-2.024183e-03	-5.642056e-10
8.353333321000029e-01	-2.026730e-03	-5.587950e-10
8.470304749571186e-01	-2.041767e-03	-7.259149e-10
8.587276178142343e-01	-2.041991e-03	-6.357933e-10
8.704247606713500e-01	-2.027404e-03	-2.884301e-10
8.821219035284658e-01	-1.998006e-03	3.161747e-10
8.938190463855814e-01	-1.953797e-03	1.178021e-09
9.055161892426972e-01	-1.894775e-03	2.297109e-09
