time	V(y)	V(recti)
0.000000000000000e+00	-2.718057e-05	-3.210640e-09
9.999992000011559e-04	2.094111e-03	-3.015627e-09
1.999999200002378e-03	4.204641e-03	-3.016631e-09
7.845720500612736e-03	1.628737e-02	-3.017639e-09
1.369144180122310e-02	2.785370e-02	-3.016560e-09
1.953716310183345e-02	3.890361e-02	-3.013395e-09
2.538288440244381e-02	4.943712e-02	-3.008143e-09
3.122860570305417e-02	5.945422e-02	-3.000804e-09
3.707432700366453e-02	6.895490e-02	-2.991378e-09
4.292004830427487e-02	7.793918e-02	-2.979866e-09
8.292004830427402e-02	1.297188e-01	-2.865262e-09
1.229200483042732e-01	1.637492e-01	-2.683823e-09
1.629200483042723e-01	1.786293e-01	-2.428830e-09
2.029200483042715e-01	1.766531e-01	-2.104308e-09
2.429200483042706e-01	1.610347e-01	-1.715374e-09
2.829200483042698e-01	1.354862e-01	-1.268162e-09
3.229200483042689e-01	1.038336e-01	-7.692119e-10
3.629200483042681e-01	6.948420e-02	-1.826304e-10
3.786666659000026e-01	5.576601e-02	4.462491e-10
3.871734307085326e-01	4.846795e-02	1.838052e-08
4.026531362829431e-01	3.543410e-02	1.154770e-07
4.081561118836987e-01	3.094406e-02	5.395476e-07
4.117276461630368e-01	2.806330e-02	1.396330e-06
4.145492576813545e-01	2.580710e-02	2.754954e-06
4.164447208986921e-01	2.430354e-02	4.436378e-06
4.167621416131649e-01	2.405301e-02	4.833367e-06
4.170795623276377e-01	2.380275e-02	5.283086e-06
4.173969830421105e-01	2.355278e-02	5.785534e-06
4.177144037565834e-01	2.330307e-02	6.340713e-06
4.180318244710562e-01	2.305364e-02	6.948622e-06
4.183492451855290e-01	2.280449e-02	7.609261e-06
4.186666659000018e-01	2.255562e-02	8.322630e-06
4.196666659000030e-01	2.177345e-02	1.111833e-05
4.203294518507746e-01	2.125694e-02	1.333519e-05
4.209922378015461e-01	2.074173e-02	1.659411e-05
4.216550237523177e-01	2.022780e-02	2.089510e-05
4.223178097030892e-01	1.971517e-02	2.623814e-05
4.229805956538608e-01	1.920382e-02	3.262324e-05
4.236433816046323e-01	1.869376e-02	4.005041e-05
4.243061675554038e-01	1.818500e-02	4.851963e-05
4.265310408635159e-01	1.648558e-02	9.576143e-05
4.290007108746146e-01	1.461680e-02	2.003696e-04
4.314318008408229e-01	1.279648e-02	4.119309e-04
4.339693116364067e-01	1.091921e-02	8.658222e-04
4.364867129226120e-01	9.083549e-03	1.787832e-03
4.390992440207562e-01	7.214619e-03	3.701037e-03
4.417978318646263e-01	5.338570e-03	7.490849e-03
4.447757064373796e-01	3.367726e-03	1.495506e-02
4.484034910764052e-01	1.214374e-03	2.967384e-02
4.546890576223639e-01	-1.780974e-03	6.431869e-02
4.618509532675503e-01	-3.940942e-03	1.101640e-01
4.698682250740163e-01	-4.465336e-03	1.651373e-01
4.791269321524396e-01	-1.797676e-03	2.310580e-01
4.970710338429534e-01	1.343486e-02	3.625588e-01
5.252246864890040e-01	6.191364e-02	5.725516e-01
5.652246864890031e-01	1.766995e-01	8.717748e-01
6.052246864890023e-01	3.422397e-01	1.166013e+00
6.452246864890014e-01	5.554197e-01	1.449372e+00
6.852246864890006e-01	8.050330e-01	1.716671e+00
7.252246864889997e-01	1.077458e+00	1.963282e+00
7.652246864889989e-01	1.358785e+00	2.187052e+00
7.973333325000063e-01	1.584020e+00	2.350365e+00
8.026190467857199e-01	1.620146e+00	2.374507e+00
8.079047610714335e-01	1.655848e+00	2.398091e+00
8.131904753571472e-01	1.691126e+00	2.421118e+00
8.184761896428608e-01	1.725981e+00	2.443587e+00
8.237619039285745e-01	1.760413e+00	2.465498e+00
8.290476182142881e-01	1.794422e+00	2.486851e+00
8.343333325000017e-01	1.828007e+00	2.507647e+00
8.353333325000030e-01	1.834288e+00	2.511504e+00
8.468933324999891e-01	1.904845e+00	2.553708e+00
8.584533324999752e-01	1.971850e+00	2.592773e+00
8.700133324999615e-01	2.035302e+00	2.628699e+00
8.815733324999476e-01	2.095203e+00	2.661486e+00
8.931333324999338e-01	2.151552e+00	2.691134e+00
9.046933324999199e-01	2.204348e+00	2.717643e+00
9.162533324999060e-01	2.253592e+00	2.741013e+00
9.562533324999052e-01	2.400223e+00	2.804582e+00
9.886073787609853e-01	2.480451e+00	2.826900e+00
1.025764045629423e+00	2.526662e+00	2.818748e+00
1.065764045629422e+00	2.527011e+00	2.773747e+00
1.105764045629421e+00	2.477337e+00	2.691380e+00
1.145764045629420e+00	2.380228e+00	2.572290e+00
1.185764045629419e+00	2.243488e+00	2.421150e+00
1.212999999200004e+00	2.131770e+00	2.302587e+00
1.218571427771433e+00	2.105560e+00	2.275395e+00
1.224142856342861e+00	2.078790e+00	2.247661e+00
1.229714284914289e+00	2.051459e+00	2.219386e+00
1.235285713485718e+00	2.023568e+00	2.190568e+00
1.240857142057146e+00	1.995115e+00	2.161209e+00
1.246428570628574e+00	1.966101e+00	2.131308e+00
1.251999999200002e+00	1.936527e+00	2.100865e+00
1.252999999200004e+00	1.931159e+00	2.095339e+00
