time	V(y)	V(triangle)
0.000000000000000e+00	-1.081173e-03	1.600000e-03
6.405644343132622e-05	-1.154908e-03	1.497510e-03
1.921693302975314e-04	-1.302397e-03	1.292529e-03
3.687078237071262e-04	-1.505636e-03	1.010068e-03
5.069592149489210e-04	-1.664770e-03	7.888653e-04
6.160210381231934e-04	-1.790298e-03	6.143663e-04
7.332072496062381e-04	-1.925199e-03	4.268684e-04
7.943228802780311e-04	-1.995565e-03	3.290834e-04
8.745964691030395e-04	-2.087987e-03	2.006456e-04
9.099676911290544e-04	-2.128706e-03	1.440517e-04
9.292575559491922e-04	-2.150908e-03	1.131879e-04
9.614202703609465e-04	-2.187922e-03	6.172757e-05
1.000000000001222e-03	-2.232320e-03	7.949197e-14
1.003857972964539e-03	-2.236760e-03	6.172756e-06
1.011573918891173e-03	-2.245641e-03	1.851827e-05
1.027005810747994e-03	-2.263399e-03	4.320930e-05
1.045812192916884e-03	-2.285042e-03	7.329951e-05
1.064697426098604e-03	-2.306777e-03	1.035159e-04
1.083784801888754e-03	-2.328744e-03	1.340557e-04
1.105363391172176e-03	-2.353577e-03	1.685814e-04
1.129090482365314e-03	-2.380879e-03	2.065448e-04
1.156565482833827e-03	-2.412483e-03	2.505048e-04
1.205837480359406e-03	-2.469126e-03	3.293400e-04
1.257963197332401e-03	-2.528994e-03	4.127411e-04
1.312667988518257e-03	-2.591757e-03	5.002688e-04
1.368761998097767e-03	-2.656054e-03	5.900192e-04
1.434325729334773e-03	-2.731164e-03	6.949212e-04
1.497338083169097e-03	-2.803339e-03	7.957409e-04
1.546918396993391e-03	-2.860124e-03	8.750694e-04
1.611686422897662e-03	-2.934281e-03	9.786983e-04
1.670013788707791e-03	-3.001010e-03	1.072022e-03
1.744716997603035e-03	-3.086367e-03	1.191547e-03
1.819298284985393e-03	-3.171478e-03	1.310877e-03
1.897736321016197e-03	-3.260910e-03	1.436378e-03
2.000000000002444e-03	-3.377467e-03	1.600000e-03
2.005554434415302e-03	-3.383797e-03	1.608887e-03
2.016663303241018e-03	-3.396458e-03	1.626661e-03
2.038881040892448e-03	-3.421776e-03	1.662210e-03
2.083316516195310e-03	-3.472392e-03	1.733306e-03
2.164489784824752e-03	-3.564769e-03	1.863184e-03
2.251462862215448e-03	-3.663607e-03	2.002341e-03
2.348806362153510e-03	-3.774083e-03	2.158090e-03
2.442454907729541e-03	-3.880289e-03	2.307928e-03
2.537234920044540e-03	-3.987730e-03	2.459576e-03
2.637523799712937e-03	-4.101309e-03	2.620038e-03
2.748083037563021e-03	-4.226320e-03	2.796933e-03
2.859875274580759e-03	-4.352530e-03	2.975801e-03
2.969956803916318e-03	-4.476693e-03	3.151931e-03
3.084588955545087e-03	-4.605900e-03	3.335342e-03
3.196349198397286e-03	-4.731704e-03	3.514159e-03
3.322803666854668e-03	-4.873789e-03	3.716486e-03
3.459777371599415e-03	-5.027471e-03	3.935644e-03
3.601942298317340e-03	-5.186811e-03	4.163108e-03
3.748918951483660e-03	-5.351298e-03	4.398271e-03
3.899209615443766e-03	-5.519151e-03	4.638735e-03
4.056436470150970e-03	-5.694453e-03	4.890298e-03
4.225328604416489e-03	-5.882504e-03	5.160526e-03
4.390600122505361e-03	-6.066174e-03	5.424960e-03
4.557879665867404e-03	-6.251669e-03	5.692607e-03
