time	V(y)	V(square)
7.211125779562622e-03	2.910498e-02	4.000000e+00
7.213116093062411e-03	2.913537e-02	4.000000e+00
7.215063361833529e-03	2.915623e-02	4.000000e+00
7.217126101593863e-03	2.917414e-02	4.000000e+00
7.219870517580773e-03	2.919878e-02	4.000000e+00
7.223314709229101e-03	2.923192e-02	4.000000e+00
7.227467128011256e-03	2.927455e-02	4.000000e+00
7.233202596772514e-03	2.933172e-02	4.000000e+00
7.240058865271237e-03	2.939659e-02	4.000000e+00
7.248149514730073e-03	2.946991e-02	4.000000e+00
7.258930479089543e-03	2.956770e-02	4.000000e+00
7.273591982482230e-03	2.970272e-02	4.000000e+00
7.295027232068207e-03	2.990472e-02	4.000000e+00
7.318105476265657e-03	3.012009e-02	4.000000e+00
7.327578110725597e-03	3.020673e-02	4.000000e+00
7.334594928629201e-03	3.027480e-02	4.000000e+00
7.338729152579049e-03	3.031573e-02	4.000000e+00
7.343792533113458e-03	3.036383e-02	4.000000e+00
7.350578249521789e-03	3.042798e-02	4.000000e+00
7.357212014724723e-03	3.049354e-02	4.000000e+00
7.367361445432152e-03	3.059863e-02	4.000000e+00
7.378027344465465e-03	3.070704e-02	4.000000e+00
7.395584962402779e-03	3.087924e-02	4.000000e+00
7.415282263053768e-03	3.106823e-02	4.000000e+00
7.420206588214739e-03	3.111556e-02	4.000000e+00
7.430055238536681e-03	3.121333e-02	4.000000e+00
7.432517401120720e-03	3.124141e-02	4.000000e+00
7.437441726281691e-03	3.129930e-02	4.000000e+00
7.445919359291508e-03	3.138017e-02	4.000000e+00
7.451395686310036e-03	3.141426e-02	4.000000e+00
7.455966660714353e-03	3.144556e-02	4.000000e+00
7.459121507132238e-03	3.147428e-02	4.000000e+00
7.461276053959409e-03	3.149043e-02	4.000000e+00
7.462987258733733e-03	3.150455e-02	4.000000e+00
7.464563023724224e-03	3.151587e-02	4.000000e+00
7.466174845227158e-03	3.152842e-02	4.000000e+00
7.467983259587641e-03	3.154360e-02	4.000000e+00
7.469998190778426e-03	3.155932e-02	4.000000e+00
7.471839780400558e-03	3.157485e-02	4.000000e+00
7.473786730962217e-03	3.159020e-02	4.000000e+00
7.475584443106698e-03	3.160607e-02	4.000000e+00
7.477389272963819e-03	3.162139e-02	4.000000e+00
7.479210064559538e-03	3.163825e-02	4.000000e+00
7.481073376823133e-03	3.165501e-02	4.000000e+00
7.483124259884733e-03	3.167338e-02	4.000000e+00
7.485515866477499e-03	3.169527e-02	4.000000e+00
7.488522700441536e-03	3.172183e-02	4.000000e+00
7.492684378128445e-03	3.175950e-02	4.000000e+00
7.498539357598588e-03	3.181139e-02	4.000000e+00
7.505708271949629e-03	3.187492e-02	4.000000e+00
7.516379381783622e-03	3.196785e-02	4.000000e+00
7.532523311120087e-03	3.210565e-02	4.000000e+00
7.559113957448460e-03	3.233855e-02	4.000000e+00
7.567617076851718e-03	3.241311e-02	4.000000e+00
7.574708251070206e-03	3.247151e-02	4.000000e+00
7.579108386543965e-03	3.250661e-02	4.000000e+00
7.582699593790210e-03	3.253672e-02	4.000000e+00
7.585499653366412e-03	3.256083e-02	4.000000e+00
7.587974236216155e-03	3.258109e-02	4.000000e+00
7.590238956915130e-03	3.260068e-02	4.000000e+00
7.592539040011559e-03	3.261907e-02	4.000000e+00
7.594927367954085e-03	3.263762e-02	4.000000e+00
7.597874825918893e-03	3.266018e-02	4.000000e+00
7.602094899304745e-03	3.269096e-02	4.000000e+00
7.606063186663903e-03	3.272214e-02	4.000000e+00
7.611133547207771e-03	3.276234e-02	4.000000e+00
7.616458282470262e-03	3.280525e-02	4.000000e+00
7.622443771509779e-03	3.285361e-02	4.000000e+00
7.629201393939411e-03	3.290903e-02	4.000000e+00
7.636602449295538e-03	3.297018e-02	4.000000e+00
7.645034337905088e-03	3.304089e-02	4.000000e+00
7.654458331700198e-03	3.312058e-02	4.000000e+00
7.665345861276762e-03	3.320653e-02	4.000000e+00
7.678423290826686e-03	3.330651e-02	4.000000e+00
7.685760596963576e-03	3.338151e-02	4.000000e+00
7.690893507522389e-03	3.343783e-02	4.000000e+00
7.695838034820213e-03	3.348360e-02	4.000000e+00
7.700050824382743e-03	3.352379e-02	4.000000e+00
7.704085598064125e-03	3.356477e-02	4.000000e+00
7.708292606046996e-03	3.360713e-02	4.000000e+00
7.712505199521047e-03	3.364825e-02	4.000000e+00
7.716927582244182e-03	3.368972e-02	4.000000e+00
7.721969614209456e-03	3.373528e-02	4.000000e+00
7.728213063963096e-03	3.379155e-02	4.000000e+00
7.737114702365488e-03	3.387268e-02	4.000000e+00
7.748688045502661e-03	3.397918e-02	4.000000e+00
7.764495166192376e-03	3.412770e-02	4.000000e+00
7.787636888963334e-03	3.434917e-02	4.000000e+00
7.790314567500900e-03	3.437525e-02	4.000000e+00
7.795669924583137e-03	3.442084e-02	4.000000e+00
7.798678553641025e-03	3.444133e-02	4.000000e+00
7.802043384138813e-03	3.446872e-02	4.000000e+00
7.804520915925650e-03	3.449342e-02	4.000000e+00
7.807361760697518e-03	3.452253e-02	4.000000e+00
7.811394772772928e-03	3.456446e-02	4.000000e+00
7.816525053200962e-03	3.461627e-02	4.000000e+00
7.825058746462332e-03	3.470043e-02	4.000000e+00
7.836101117504768e-03	3.481122e-02	4.000000e+00
7.858185859589639e-03	3.503226e-02	4.000000e+00
7.882817772880912e-03	3.527354e-02	4.000000e+00
7.913203883362030e-03	3.557835e-02	4.000000e+00
7.914121400801832e-03	3.559052e-02	4.000000e+00
7.915956435681437e-03	3.561387e-02	4.000000e+00
7.919626505447752e-03	3.564610e-02	4.000000e+00
7.923381234014926e-03	3.566843e-02	4.000000e+00
7.926676680071409e-03	3.568498e-02	4.000000e+00
7.929426507722326e-03	3.570687e-02	4.000000e+00
7.932239979979272e-03	3.573267e-02	4.000000e+00
7.934989860231667e-03	3.575750e-02	4.000000e+00
7.938253181031030e-03	3.578436e-02	4.000000e+00
7.942011442224839e-03	3.581330e-02	4.000000e+00
7.947134068984951e-03	3.585493e-02	4.000000e+00
7.955019590525580e-03	3.592227e-02	4.000000e+00
7.964460806256568e-03	3.600662e-02	4.000000e+00
7.977219817711045e-03	3.612008e-02	4.000000e+00
7.993510823411043e-03	3.626242e-02	4.000000e+00
8.017229715598262e-03	3.646506e-02	4.000000e+00
8.020917540974892e-03	3.649604e-02	4.000000e+00
8.028293191728153e-03	3.655703e-02	4.000000e+00
8.033636726942461e-03	3.660671e-02	4.000000e+00
8.037058835419941e-03	3.664427e-02	4.000000e+00
8.040936676223964e-03	3.668226e-02	4.000000e+00
8.043519148110079e-03	3.670289e-02	4.000000e+00
8.046534450144804e-03	3.672696e-02	4.000000e+00
8.049447263907439e-03	3.674947e-02	4.000000e+00
8.052876894744543e-03	3.677600e-02	4.000000e+00
8.057118957033538e-03	3.681006e-02	4.000000e+00
8.062284426081590e-03	3.685170e-02	4.000000e+00
8.069811487580125e-03	3.691140e-02	4.000000e+00
8.080880774990362e-03	3.699885e-02	4.000000e+00
8.101297049478262e-03	3.716472e-02	4.000000e+00
8.126347251810273e-03	3.737246e-02	4.000000e+00
8.130966396272754e-03	3.741153e-02	4.000000e+00
8.140204685204822e-03	3.748461e-02	4.000000e+00
8.151247714245358e-03	3.756408e-02	4.000000e+00
8.157865034050360e-03	3.762055e-02	4.000000e+00
8.163648763989784e-03	3.768861e-02	4.000000e+00
8.168350038083361e-03	3.774012e-02	4.000000e+00
8.171444408006323e-03	3.776724e-02	4.000000e+00
8.173487450569894e-03	3.778774e-02	4.000000e+00
8.175059343635382e-03	3.780188e-02	4.000000e+00
8.176486524888560e-03	3.781801e-02	4.000000e+00
8.177957485770548e-03	3.783351e-02	4.000000e+00
8.179701597057942e-03	3.785030e-02	4.000000e+00
8.181320614397691e-03	3.786713e-02	4.000000e+00
8.182957462238960e-03	3.788236e-02	4.000000e+00
8.184482323940756e-03	3.789837e-02	4.000000e+00
8.185959049292535e-03	3.791181e-02	4.000000e+00
8.187442620936736e-03	3.792684e-02	4.000000e+00
8.188992980947774e-03	3.794152e-02	4.000000e+00
8.190764755617863e-03	3.795750e-02	4.000000e+00
8.192971640617941e-03	3.797827e-02	4.000000e+00
8.196102565030117e-03	3.800564e-02	4.000000e+00
8.200084607302927e-03	3.804183e-02	4.000000e+00
8.205048313001839e-03	3.808650e-02	4.000000e+00
8.211468577947301e-03	3.814509e-02	4.000000e+00
8.219503862456179e-03	3.821868e-02	4.000000e+00
8.230814460581826e-03	3.832393e-02	4.000000e+00
8.247544418864550e-03	3.848253e-02	4.000000e+00
8.274534937775968e-03	3.873673e-02	4.000000e+00
8.274807964170350e-03	3.873445e-02	4.000000e+00
8.275354016952008e-03	3.873025e-02	4.000000e+00
8.276446122522430e-03	3.874143e-02	4.000000e+00
8.277456694614216e-03	3.875027e-02	4.000000e+00
8.278533984231728e-03	3.876049e-02	4.000000e+00
8.280688563466754e-03	3.878298e-02	4.000000e+00
8.283278528232074e-03	3.880864e-02	4.000000e+00
8.287181845410885e-03	3.884826e-02	4.000000e+00
8.292406268772368e-03	3.890087e-02	4.000000e+00
8.299582911554637e-03	3.897356e-02	4.000000e+00
8.309652417310076e-03	3.907509e-02	4.000000e+00
8.324203905004879e-03	3.922054e-02	4.000000e+00
8.348645667858534e-03	3.945983e-02	4.000000e+00
8.382044978134218e-03	3.978717e-02	4.000000e+00
8.383974843674480e-03	3.980994e-02	4.000000e+00
8.387834574755004e-03	3.985665e-02	4.000000e+00
8.394614691631830e-03	3.991995e-02	4.000000e+00
8.399635961630736e-03	3.994980e-02	4.000000e+00
8.403784019044735e-03	3.997703e-02	4.000000e+00
8.406638748631678e-03	4.000371e-02	4.000000e+00
8.408617970253829e-03	4.002053e-02	4.000000e+00
8.410236489247325e-03	4.003649e-02	4.000000e+00
8.411926469612752e-03	4.004940e-02	4.000000e+00
8.413453963065365e-03	4.006049e-02	4.000000e+00
8.415484635030168e-03	4.007721e-02	4.000000e+00
8.417381308952088e-03	4.009173e-02	4.000000e+00
