time	V(y)	V(one)
0.000000000000000e+00	7.209629e-01	1.000000e+00
1.000001760036895e-03	7.209629e-01	1.000000e+00
1.999999999998892e-03	7.209629e-01	1.000000e+00
5.380758324693553e-03	7.209629e-01	1.000000e+00
8.761516649388214e-03	7.209629e-01	1.000000e+00
1.214227497408287e-02	7.209629e-01	1.000000e+00
1.552303329877753e-02	7.209629e-01	1.000000e+00
1.890379162347219e-02	7.209629e-01	1.000000e+00
2.228454994816685e-02	7.209629e-01	1.000000e+00
2.566530827286151e-02	7.209629e-01	1.000000e+00
4.566530827286108e-02	7.209629e-01	1.000000e+00
6.566530827286066e-02	7.209629e-01	1.000000e+00
8.566530827286023e-02	7.209629e-01	1.000000e+00
1.056653082728598e-01	7.209629e-01	1.000000e+00
1.256653082728594e-01	7.209629e-01	1.000000e+00
1.456653082728590e-01	7.209629e-01	1.000000e+00
1.656653082728585e-01	7.209629e-01	1.000000e+00
1.856653082728581e-01	7.209629e-01	1.000000e+00
1.998415647980494e-01	7.209629e-01	1.000000e+00
2.176734556736086e-01	7.209629e-01	1.000000e+00
2.360371780757902e-01	7.209629e-01	1.000000e+00
2.560371780757897e-01	7.209629e-01	1.000000e+00
2.760371780757893e-01	7.209629e-01	1.000000e+00
2.960371780757889e-01	7.209629e-01	1.000000e+00
3.160371780757885e-01	7.209629e-01	1.000000e+00
3.360371780757880e-01	7.209629e-01	1.000000e+00
3.560371780757876e-01	7.209629e-01	1.000000e+00
3.760371780757872e-01	7.209629e-01	1.000000e+00
3.976666675000207e-01	7.209629e-01	1.000000e+00
4.074436040454241e-01	7.209629e-01	1.000000e+00
4.176666675000202e-01	7.209629e-01	1.000000e+00
4.221940241727700e-01	7.209629e-01	1.000000e+00
4.267213808455197e-01	7.209629e-01	1.000000e+00
4.312487375182695e-01	7.209629e-01	1.000000e+00
4.357760941910193e-01	7.209629e-01	1.000000e+00
4.403034508637690e-01	7.209629e-01	1.000000e+00
4.448308075365188e-01	7.209629e-01	1.000000e+00
4.493581642092686e-01	7.209629e-01	1.000000e+00
4.693581642092681e-01	7.209629e-01	1.000000e+00
