in s,C1 in V,C2 in V
-8.7894E+00,-8.64258E-01,-4.71191E+00
-8.7876E+00,-8.34961E-01,-4.76074E+00
-8.7858E+00,-8.25195E-01,-4.76074E+00
-8.7840E+00,-8.25195E-01,-4.80957E+00
-8.7822E+00,-7.95898E-01,-4.71191E+00
-8.7804E+00,-8.15430E-01,-4.61426E+00
-8.7786E+00,-7.66602E-01,-4.71191E+00
-8.7768E+00,-7.95898E-01,-4.51660E+00
-8.7750E+00,-7.47070E-01,-4.71191E+00
-8.7732E+00,-7.66602E-01,-4.41895E+00
-8.7714E+00,-7.17773E-01,-4.56543E+00
-8.7696E+00,-7.27539E-01,-4.46777E+00
-8.7678E+00,-7.47070E-01,-4.37012E+00
-8.7660E+00,-7.08008E-01,-4.46777E+00
-8.7642E+00,-6.88477E-01,-4.37012E+00
-8.7624E+00,-6.78711E-01,-4.56543E+00
-8.7606E+00,-6.59180E-01,-4.41895E+00
-8.7588E+00,-6.59180E-01,-4.32129E+00
-8.7570E+00,-6.39648E-01,-4.37012E+00
-8.7552E+00,-6.20117E-01,-4.22363E+00
-8.7534E+00,-6.10352E-01,-4.17480E+00
-8.7516E+00,-6.00586E-01,-4.17480E+00
-8.7498E+00,-5.90820E-01,-4.17480E+00
-8.7480E+00,-5.61523E-01,-4.27246E+00
-8.7462E+00,-5.61523E-01,-4.17480E+00
-8.7444E+00,-5.61523E-01,-4.12598E+00
-8.7426E+00,-5.32227E-01,-3.97949E+00
-8.7408E+00,-5.22461E-01,-4.07715E+00
-8.7390E+00,-5.02930E-01,-4.02832E+00
-8.7372E+00,-4.83398E-01,-3.97949E+00
-8.7354E+00,-4.83398E-01,-3.97949E+00
-8.7336E+00,-4.34570E-01,-3.78418E+00
-8.7318E+00,-4.54102E-01,-3.83301E+00
-8.7300E+00,-4.15039E-01,-3.73535E+00
-8.7282E+00,-3.95508E-01,-3.78418E+00
-8.7264E+00,-3.95508E-01,-3.78418E+00
-8.7246E+00,-3.95508E-01,-3.68652E+00
-8.7228E+00,-3.75977E-01,-3.83301E+00
-8.7210E+00,-3.66211E-01,-3.78418E+00
-8.7192E+00,-3.85742E-01,-3.63770E+00
-8.7174E+00,-3.17383E-01,-3.58887E+00
-8.7156E+00,-3.17383E-01,-3.58887E+00
-8.7138E+00,-3.17383E-01,-3.49121E+00
-8.7120E+00,-2.88086E-01,-3.58887E+00
-8.7102E+00,-2.68555E-01,-3.54004E+00
-8.7084E+00,-2.58789E-01,-3.58887E+00
-8.7066E+00,-2.39258E-01,-3.39355E+00
-8.7048E+00,-2.29492E-01,-3.39355E+00
-8.7030E+00,-2.19727E-01,-3.34473E+00
-8.7012E+00,-2.19727E-01,-3.39355E+00
-8.6994E+00,-1.90430E-01,-3.34473E+00
-8.6976E+00,-1.70898E-01,-3.29590E+00
-8.6958E+00,-2.09961E-01,-3.29590E+00
-8.6940E+00,-1.51367E-01,-3.19824E+00
-8.6922E+00,-1.41602E-01,-3.19824E+00
-8.6904E+00,-1.41602E-01,-3.05176E+00
-8.6886E+00,-1.12305E-01,-3.14941E+00
-8.6868E+00,-8.30078E-02,-3.14941E+00
-8.6850E+00,-1.02539E-01,-3.05176E+00
-8.6832E+00,-7.32422E-02,-3.00293E+00
-8.6814E+00,-7.32422E-02,-3.05176E+00
-8.6796E+00,-3.41797E-02,-2.85645E+00
-8.6778E+00,-3.41797E-02,-2.90527E+00
-8.6760E+00,-3.41797E-02,-2.95410E+00
-8.6742E+00,-1.46484E-02,-2.80762E+00
-8.6724E+00,-4.88281E-03,-2.85645E+00
-8.6706E+00,3.41797E-02,-2.70996E+00
-8.6688E+00,3.41797E-02,-2.75879E+00
-8.6670E+00,7.32422E-02,-2.75879E+00
-8.6652E+00,5.37109E-02,-2.56348E+00
-8.6634E+00,8.30078E-02,-2.66113E+00
-8.6616E+00,9.27734E-02,-2.66113E+00
-8.6598E+00,8.30078E-02,-2.56348E+00
-8.6580E+00,1.02539E-01,-2.66113E+00
-8.6562E+00,1.22070E-01,-2.66113E+00
-8.6544E+00,1.41602E-01,-2.51465E+00
-8.6526E+00,1.70898E-01,-2.51465E+00
-8.6508E+00,1.70898E-01,-2.36816E+00
-8.6490E+00,1.90430E-01,-2.31934E+00
-8.6472E+00,2.00195E-01,-2.31934E+00
-8.6454E+00,2.09961E-01,-2.31934E+00
-8.6436E+00,2.19727E-01,-2.27051E+00
-8.6418E+00,2.29492E-01,-2.17285E+00
-8.6400E+00,2.58789E-01,-2.22168E+00
-8.6382E+00,2.78320E-01,-2.22168E+00
-8.6364E+00,2.88086E-01,-2.12402E+00
-8.6346E+00,3.17383E-01,-2.12402E+00
-8.6328E+00,2.97852E-01,-2.07520E+00
-8.6310E+00,3.36914E-01,-2.07520E+00
-8.6292E+00,3.27148E-01,-1.87988E+00
-8.6274E+00,3.56445E-01,-2.02637E+00
-8.6256E+00,3.85742E-01,-1.87988E+00
-8.6238E+00,3.85742E-01,-1.78223E+00
-8.6220E+00,4.05273E-01,-1.87988E+00
-8.6202E+00,3.95508E-01,-1.83105E+00
-8.6184E+00,4.24805E-01,-1.78223E+00
-8.6166E+00,4.24805E-01,-1.83105E+00
-8.6148E+00,4.34570E-01,-1.73340E+00
-8.6130E+00,4.83398E-01,-1.63574E+00
-8.6112E+00,4.93164E-01,-1.63574E+00
-8.6094E+00,4.63867E-01,-1.63574E+00
-8.6076E+00,4.93164E-01,-1.53809E+00
-8.6058E+00,5.22461E-01,-1.48926E+00
-8.6040E+00,5.32227E-01,-1.44043E+00
-8.6022E+00,5.61523E-01,-1.48926E+00
-8.6004E+00,5.51758E-01,-1.34277E+00
-8.5986E+00,5.71289E-01,-1.34277E+00
-8.5968E+00,5.90820E-01,-1.34277E+00
-8.5950E+00,5.71289E-01,-1.34277E+00
-8.5932E+00,5.90820E-01,-1.34277E+00
-8.5914E+00,6.10352E-01,-1.24512E+00
-8.5896E+00,6.10352E-01,-1.29395E+00
-8.5878E+00,6.39648E-01,-1.24512E+00
-8.5860E+00,6.78711E-01,-1.19629E+00
-8.5842E+00,6.98242E-01,-1.09863E+00
-8.5824E+00,6.88477E-01,-1.04980E+00
-8.5806E+00,7.08008E-01,-1.09863E+00
-8.5788E+00,7.37305E-01,-1.04980E+00
-8.5770E+00,7.17773E-01,-9.03320E-01
-8.5752E+00,7.27539E-01,-9.03320E-01
-8.5734E+00,7.47070E-01,-9.03320E-01
-8.5716E+00,7.86133E-01,-7.56836E-01
-8.5698E+00,7.86133E-01,-8.54492E-01
-8.5680E+00,7.86133E-01,-8.05664E-01
-8.5662E+00,8.34961E-01,-7.08008E-01
-8.5644E+00,8.25195E-01,-7.56836E-01
-8.5626E+00,8.34961E-01,-5.61523E-01
-8.5608E+00,8.54492E-01,-6.59180E-01
-8.5590E+00,8.74023E-01,-6.10352E-01
-8.5572E+00,8.93555E-01,-5.12695E-01
-8.5554E+00,8.83789E-01,-5.61523E-01
-8.5536E+00,8.83789E-01,-4.15039E-01
-8.5518E+00,9.03320E-01,-4.63867E-01
-8.5500E+00,9.22852E-01,-3.66211E-01
-8.5482E+00,9.52148E-01,-4.63867E-01
-8.5464E+00,9.32617E-01,-2.19727E-01
-8.5446E+00,9.61914E-01,-4.15039E-01
-8.5428E+00,9.91211E-01,2.44141E-02
-8.5410E+00,9.81445E-01,-2.19727E-01
-8.5392E+00,1.00098E+00,2.44141E-02
-8.5374E+00,1.00098E+00,7.32422E-02
-8.5356E+00,1.04004E+00,-1.22070E-01
-8.5338E+00,1.05957E+00,7.32422E-02
-8.5320E+00,1.05957E+00,-2.44141E-02
-8.5302E+00,1.06934E+00,1.70898E-01
-8.5284E+00,1.08887E+00,1.70898E-01
-8.5266E+00,1.12793E+00,2.19727E-01
-8.5248E+00,1.11816E+00,2.68555E-01
-8.5230E+00,1.11816E+00,2.19727E-01
-8.5212E+00,1.14746E+00,2.68555E-01
-8.5194E+00,1.14746E+00,3.66211E-01
-8.5176E+00,1.15723E+00,3.66211E-01
-8.5158E+00,1.12793E+00,5.12695E-01
