in s,C1 in V,C2 in V
-2.339040E+00,3.80859E-01,1.45020E+00
-2.338560E+00,4.00391E-01,1.45996E+00
-2.338080E+00,3.80859E-01,1.45996E+00
-2.337600E+00,3.80859E-01,1.44043E+00
-2.337120E+00,3.80859E-01,1.43066E+00
-2.336640E+00,4.58984E-01,1.45996E+00
-2.336160E+00,3.41797E-01,1.44043E+00
-2.335680E+00,3.61328E-01,1.43066E+00
-2.335200E+00,3.80859E-01,1.42090E+00
-2.334720E+00,4.00391E-01,1.40137E+00
-2.334240E+00,3.41797E-01,1.41113E+00
-2.333760E+00,3.80859E-01,1.43066E+00
-2.333280E+00,3.22266E-01,1.39160E+00
-2.332800E+00,4.00391E-01,1.39160E+00
-2.332320E+00,3.41797E-01,1.37207E+00
-2.331840E+00,3.22266E-01,1.37207E+00
-2.331360E+00,4.19922E-01,1.37207E+00
-2.330880E+00,3.41797E-01,1.36230E+00
-2.330400E+00,3.41797E-01,1.36230E+00
-2.329920E+00,3.22266E-01,1.36230E+00
-2.329440E+00,3.02734E-01,1.34277E+00
-2.328960E+00,3.02734E-01,1.33301E+00
-2.328480E+00,2.83203E-01,1.36230E+00
-2.328000E+00,3.02734E-01,1.34277E+00
-2.327520E+00,2.63672E-01,1.33301E+00
-2.327040E+00,3.02734E-01,1.34277E+00
-2.326560E+00,3.02734E-01,1.29395E+00
-2.326080E+00,2.44141E-01,1.29395E+00
-2.325600E+00,3.41797E-01,1.28418E+00
-2.325120E+00,2.44141E-01,1.31348E+00
-2.324640E+00,2.63672E-01,1.28418E+00
-2.324160E+00,2.05078E-01,1.30371E+00
-2.323680E+00,2.63672E-01,1.25488E+00
-2.323200E+00,2.63672E-01,1.27441E+00
-2.322720E+00,2.83203E-01,1.26465E+00
-2.322240E+00,2.24609E-01,1.21582E+00
-2.321760E+00,2.05078E-01,1.26465E+00
-2.321280E+00,1.66016E-01,1.21582E+00
-2.320800E+00,2.24609E-01,1.22559E+00
-2.320320E+00,2.24609E-01,1.22559E+00
-2.319840E+00,2.63672E-01,1.21582E+00
-2.319360E+00,2.24609E-01,1.22559E+00
-2.318880E+00,2.83203E-01,1.19629E+00
-2.318400E+00,1.85547E-01,1.19629E+00
-2.317920E+00,2.24609E-01,1.22559E+00
-2.317440E+00,1.46484E-01,1.17676E+00
-2.316960E+00,1.85547E-01,1.20605E+00
-2.316480E+00,1.46484E-01,1.18652E+00
-2.316000E+00,1.46484E-01,1.18652E+00
-2.315520E+00,2.24609E-01,1.16699E+00
-2.315040E+00,2.24609E-01,1.16699E+00
-2.314560E+00,1.46484E-01,1.13770E+00
-2.314080E+00,1.66016E-01,1.13770E+00
-2.313600E+00,1.07422E-01,1.12793E+00
-2.313120E+00,1.46484E-01,1.14746E+00
-2.312640E+00,1.26953E-01,1.13770E+00
-2.312160E+00,1.66016E-01,1.12793E+00
-2.311680E+00,1.46484E-01,1.13770E+00
-2.311200E+00,8.78906E-02,1.10840E+00
-2.310720E+00,1.66016E-01,1.10840E+00
-2.310240E+00,1.46484E-01,1.08887E+00
-2.309760E+00,1.85547E-01,1.09863E+00
-2.309280E+00,1.26953E-01,1.07910E+00
-2.308800E+00,8.78906E-02,1.07910E+00
-2.308320E+00,8.78906E-02,1.04980E+00
-2.307840E+00,1.46484E-01,1.05957E+00
